"keyfield","sav_spec","rep","height","pc","surv_meth","pc_meth","crew_grass"
"200409211140-325","Halodule",9,6,0,NA,NA,NA
"200409211140-325","Macroalgae",1,NA,NA,NA,NA,NA
"200409211140-325","Macroalgae",2,NA,NA,NA,NA,NA
"200409211140-325","Macroalgae",3,NA,NA,NA,NA,NA
"200409211140-325","Macroalgae",4,NA,NA,NA,NA,NA
"200409211140-325","Macroalgae",5,NA,NA,NA,NA,NA
"200409211140-325","Macroalgae",6,NA,NA,NA,NA,NA
"200409211140-325","Macroalgae",7,NA,NA,NA,NA,NA
"200409211140-325","Macroalgae",8,NA,NA,NA,NA,NA
"200409211140-325","Macroalgae",9,NA,NA,NA,NA,NA
"200409211623-271","Thalassia",1,19,49,NA,NA,NA
"200409211623-271","Thalassia",2,19,49,NA,NA,NA
"200409211623-271","Thalassia",3,19,49,NA,NA,NA
"200409211623-271","Thalassia",4,19,49,NA,NA,NA
"200409211623-271","Thalassia",5,19,49,NA,NA,NA
"200409211623-271","Thalassia",6,19,49,NA,NA,NA
"200409211623-271","Thalassia",7,19,49,NA,NA,NA
"200409211623-271","Thalassia",8,19,49,NA,NA,NA
"200409211623-271","Thalassia",9,19,49,NA,NA,NA
"200409211623-271","Syringodium",1,NA,0,NA,NA,NA
"200409211623-271","Syringodium",2,NA,0,NA,NA,NA
"200409211623-271","Syringodium",3,NA,0,NA,NA,NA
"200409211623-271","Syringodium",4,NA,0,NA,NA,NA
"200409211623-271","Syringodium",5,NA,0,NA,NA,NA
"200409211623-271","Syringodium",6,NA,0,NA,NA,NA
"200409211623-271","Syringodium",7,NA,0,NA,NA,NA
"200409211623-271","Syringodium",8,NA,0,NA,NA,NA
"200409211623-271","Syringodium",9,NA,0,NA,NA,NA
"200409211623-271","Halodule",1,6,0,NA,NA,NA
"200409211623-271","Halodule",2,6,0,NA,NA,NA
"200409211623-271","Halodule",3,6,0,NA,NA,NA
"200409211623-271","Halodule",4,6,0,NA,NA,NA
"200409211623-271","Halodule",5,6,0,NA,NA,NA
"200409211623-271","Halodule",6,6,0,NA,NA,NA
"200409211623-271","Halodule",7,6,0,NA,NA,NA
"200409211623-271","Halodule",8,6,0,NA,NA,NA
"200409211623-271","Halodule",9,6,0,NA,NA,NA
"200409211623-271","Macroalgae",1,NA,NA,NA,NA,NA
"200409211623-271","Macroalgae",2,NA,NA,NA,NA,NA
"200409211623-271","Macroalgae",3,NA,NA,NA,NA,NA
"200409211623-271","Macroalgae",4,NA,NA,NA,NA,NA
"200409211623-271","Macroalgae",5,NA,NA,NA,NA,NA
"200409211623-271","Macroalgae",6,NA,NA,NA,NA,NA
"200409211623-271","Macroalgae",7,NA,NA,NA,NA,NA
"200409211623-271","Macroalgae",8,NA,NA,NA,NA,NA
"200409211623-271","Macroalgae",9,NA,NA,NA,NA,NA
"200409211329-402","Thalassia",1,11,14,NA,NA,NA
"200409211329-402","Thalassia",2,11,14,NA,NA,NA
"200409211329-402","Thalassia",3,11,14,NA,NA,NA
"200409211329-402","Thalassia",4,11,14,NA,NA,NA
"200409211329-402","Thalassia",5,11,14,NA,NA,NA
"200409211329-402","Thalassia",6,11,14,NA,NA,NA
"200409211329-402","Thalassia",7,11,14,NA,NA,NA
"200409211329-402","Thalassia",8,11,14,NA,NA,NA
"200409211329-402","Thalassia",9,11,14,NA,NA,NA
"200409211329-402","Syringodium",1,NA,0,NA,NA,NA
"200409211329-402","Syringodium",2,NA,0,NA,NA,NA
"200409211329-402","Syringodium",3,NA,0,NA,NA,NA
"200409211329-402","Syringodium",4,NA,0,NA,NA,NA
"200409211329-402","Syringodium",5,NA,0,NA,NA,NA
"200409211329-402","Syringodium",6,NA,0,NA,NA,NA
"200409211329-402","Syringodium",7,NA,0,NA,NA,NA
"200409211329-402","Syringodium",8,NA,0,NA,NA,NA
"200409211329-402","Syringodium",9,NA,0,NA,NA,NA
"200409211329-402","Halodule",1,NA,0,NA,NA,NA
"200409211329-402","Halodule",2,NA,0,NA,NA,NA
"200409211329-402","Halodule",3,NA,0,NA,NA,NA
"200409211329-402","Halodule",4,NA,0,NA,NA,NA
"200409211329-402","Halodule",5,NA,0,NA,NA,NA
"200409211329-402","Halodule",6,NA,0,NA,NA,NA
"200409211329-402","Halodule",7,NA,0,NA,NA,NA
"200409211329-402","Halodule",8,NA,0,NA,NA,NA
"200409211329-402","Halodule",9,NA,0,NA,NA,NA
"200409211329-402","Macroalgae",1,NA,NA,NA,NA,NA
"200409211329-402","Macroalgae",2,NA,NA,NA,NA,NA
"200409211329-402","Macroalgae",3,NA,NA,NA,NA,NA
"200409211329-402","Macroalgae",4,NA,NA,NA,NA,NA
"200409211329-402","Macroalgae",5,NA,NA,NA,NA,NA
"200409211329-402","Macroalgae",6,NA,NA,NA,NA,NA
"200409211329-402","Macroalgae",7,NA,NA,NA,NA,NA
"200409211329-402","Macroalgae",8,NA,NA,NA,NA,NA
"200409211329-402","Macroalgae",9,NA,NA,NA,NA,NA
"200409211720-284","Thalassia",1,21,41,NA,NA,NA
"200409211720-284","Thalassia",2,21,41,NA,NA,NA
"200409211720-284","Thalassia",3,21,41,NA,NA,NA
"200409211720-284","Thalassia",4,21,41,NA,NA,NA
"200409211720-284","Thalassia",5,21,41,NA,NA,NA
"200409211720-284","Thalassia",6,21,41,NA,NA,NA
"200409211720-284","Thalassia",7,21,41,NA,NA,NA
"200409211720-284","Thalassia",8,21,41,NA,NA,NA
"200409211720-284","Thalassia",9,21,41,NA,NA,NA
"200409211720-284","Syringodium",1,NA,0,NA,NA,NA
"200409211720-284","Syringodium",2,NA,0,NA,NA,NA
"200409211720-284","Syringodium",3,NA,0,NA,NA,NA
"200409211720-284","Syringodium",4,NA,0,NA,NA,NA
"200409211720-284","Syringodium",5,NA,0,NA,NA,NA
"200409211720-284","Syringodium",6,NA,0,NA,NA,NA
"200409211720-284","Syringodium",7,NA,0,NA,NA,NA
"200409211720-284","Syringodium",8,NA,0,NA,NA,NA
"200409211720-284","Syringodium",9,NA,0,NA,NA,NA
"200409211720-284","Halodule",1,NA,0,NA,NA,NA
"200409211720-284","Halodule",2,NA,0,NA,NA,NA
"200409211720-284","Halodule",3,NA,0,NA,NA,NA
"200409211720-284","Halodule",4,NA,0,NA,NA,NA
"200409211720-284","Halodule",5,NA,0,NA,NA,NA
"200409211720-284","Halodule",6,NA,0,NA,NA,NA
"200409211720-284","Halodule",7,NA,0,NA,NA,NA
"200409211720-284","Halodule",8,NA,0,NA,NA,NA
"200409211720-284","Halodule",9,NA,0,NA,NA,NA
"200409211720-284","Macroalgae",1,NA,NA,NA,NA,NA
"200409211720-284","Macroalgae",2,NA,NA,NA,NA,NA
"200409211720-284","Macroalgae",3,NA,NA,NA,NA,NA
"200409211720-284","Macroalgae",4,NA,NA,NA,NA,NA
"200409211720-284","Macroalgae",5,NA,NA,NA,NA,NA
"200409211720-284","Macroalgae",6,NA,NA,NA,NA,NA
"200409211720-284","Macroalgae",7,NA,NA,NA,NA,NA
"200409211720-284","Macroalgae",8,NA,NA,NA,NA,NA
"200409211720-284","Macroalgae",9,NA,NA,NA,NA,NA
"200409211513-616","Thalassia",1,9,8,NA,NA,NA
"200409211513-616","Thalassia",2,9,8,NA,NA,NA
"200409211513-616","Thalassia",3,9,8,NA,NA,NA
"200409211513-616","Thalassia",4,9,8,NA,NA,NA
"200409211513-616","Thalassia",5,9,8,NA,NA,NA
"200409211513-616","Thalassia",6,9,8,NA,NA,NA
"200409211513-616","Thalassia",7,9,8,NA,NA,NA
"200409211513-616","Thalassia",8,9,8,NA,NA,NA
"200409211513-616","Thalassia",9,9,8,NA,NA,NA
"200409211513-616","Syringodium",1,NA,0,NA,NA,NA
"200409211513-616","Syringodium",2,NA,0,NA,NA,NA
"200409211513-616","Syringodium",3,NA,0,NA,NA,NA
"200409211513-616","Syringodium",4,NA,0,NA,NA,NA
"200409211513-616","Syringodium",5,NA,0,NA,NA,NA
"200409211513-616","Syringodium",6,NA,0,NA,NA,NA
"200409211513-616","Syringodium",7,NA,0,NA,NA,NA
"200409211513-616","Syringodium",8,NA,0,NA,NA,NA
"200409211513-616","Syringodium",9,NA,0,NA,NA,NA
"200409211513-616","Halodule",1,5,0,NA,NA,NA
"200409211513-616","Halodule",2,5,0,NA,NA,NA
"200409211513-616","Halodule",3,5,0,NA,NA,NA
"200409211513-616","Halodule",4,5,0,NA,NA,NA
"200409211513-616","Halodule",5,5,0,NA,NA,NA
"200409211513-616","Halodule",6,5,0,NA,NA,NA
"200409211513-616","Halodule",7,5,0,NA,NA,NA
"200409211513-616","Halodule",8,5,0,NA,NA,NA
"200409211513-616","Halodule",9,5,0,NA,NA,NA
"200409211513-616","Macroalgae",1,NA,NA,NA,NA,NA
"200409211513-616","Macroalgae",2,NA,NA,NA,NA,NA
"200409211513-616","Macroalgae",3,NA,NA,NA,NA,NA
"200409211513-616","Macroalgae",4,NA,NA,NA,NA,NA
"200409211513-616","Macroalgae",5,NA,NA,NA,NA,NA
"200409211513-616","Macroalgae",6,NA,NA,NA,NA,NA
"200409211513-616","Macroalgae",7,NA,NA,NA,NA,NA
"200409211513-616","Macroalgae",8,NA,NA,NA,NA,NA
"200409211513-616","Macroalgae",9,NA,NA,NA,NA,NA
"200409211408-621","Thalassia",1,11,9,NA,NA,NA
"200409211408-621","Thalassia",2,11,9,NA,NA,NA
"200409211408-621","Thalassia",3,11,9,NA,NA,NA
"200409211408-621","Thalassia",4,11,9,NA,NA,NA
"200409211408-621","Thalassia",5,11,9,NA,NA,NA
"200409211408-621","Thalassia",6,11,9,NA,NA,NA
"200409211408-621","Thalassia",7,11,9,NA,NA,NA
"200409211408-621","Thalassia",8,11,9,NA,NA,NA
"200409211408-621","Thalassia",9,11,9,NA,NA,NA
"200409211408-621","Syringodium",1,NA,0,NA,NA,NA
"200409211408-621","Syringodium",2,NA,0,NA,NA,NA
"200409211408-621","Syringodium",3,NA,0,NA,NA,NA
"200409211408-621","Syringodium",4,NA,0,NA,NA,NA
"200409211408-621","Syringodium",5,NA,0,NA,NA,NA
"200409211408-621","Syringodium",6,NA,0,NA,NA,NA
"200409211408-621","Syringodium",7,NA,0,NA,NA,NA
"200409211408-621","Syringodium",8,NA,0,NA,NA,NA
"200409211408-621","Syringodium",9,NA,0,NA,NA,NA
"200409211408-621","Halodule",1,NA,0,NA,NA,NA
"200409211408-621","Halodule",2,NA,0,NA,NA,NA
"200409211408-621","Halodule",3,NA,0,NA,NA,NA
"200409211408-621","Halodule",4,NA,0,NA,NA,NA
"200409211408-621","Halodule",5,NA,0,NA,NA,NA
"200409211408-621","Halodule",6,NA,0,NA,NA,NA
"200409211408-621","Halodule",7,NA,0,NA,NA,NA
"200409211408-621","Halodule",8,NA,0,NA,NA,NA
"200409211408-621","Halodule",9,NA,0,NA,NA,NA
"200409211408-621","Macroalgae",1,NA,NA,NA,NA,NA
"200409211408-621","Macroalgae",2,NA,NA,NA,NA,NA
"200409211408-621","Macroalgae",3,NA,NA,NA,NA,NA
"200409211408-621","Macroalgae",4,NA,NA,NA,NA,NA
"200409211408-621","Macroalgae",5,NA,NA,NA,NA,NA
"200409211408-621","Macroalgae",6,NA,NA,NA,NA,NA
"200409211408-621","Macroalgae",7,NA,NA,NA,NA,NA
"200409211408-621","Macroalgae",8,NA,NA,NA,NA,NA
"200409211408-621","Macroalgae",9,NA,NA,NA,NA,NA
"200409220938-118","Thalassia",1,37,2,NA,NA,NA
"200409220938-118","Thalassia",2,37,2,NA,NA,NA
"200409220938-118","Thalassia",3,37,2,NA,NA,NA
"200409220938-118","Thalassia",4,37,2,NA,NA,NA
"200409220938-118","Thalassia",5,37,2,NA,NA,NA
"200409220938-118","Thalassia",6,37,2,NA,NA,NA
"200409220938-118","Thalassia",7,37,2,NA,NA,NA
"200409220938-118","Thalassia",8,37,2,NA,NA,NA
"200409220938-118","Thalassia",9,37,2,NA,NA,NA
"200409220938-118","Syringodium",1,27,5,NA,NA,NA
"200409220938-118","Syringodium",2,27,5,NA,NA,NA
"200409220938-118","Syringodium",3,27,5,NA,NA,NA
"200409220938-118","Syringodium",4,27,5,NA,NA,NA
"200409220938-118","Syringodium",5,27,5,NA,NA,NA
"200409220938-118","Syringodium",6,27,5,NA,NA,NA
"200409220938-118","Syringodium",7,27,5,NA,NA,NA
"200409220938-118","Syringodium",8,27,5,NA,NA,NA
"200409220938-118","Syringodium",9,27,5,NA,NA,NA
"200409220938-118","Halodule",1,29,85,NA,NA,NA
"200409220938-118","Halodule",2,29,85,NA,NA,NA
"200409220938-118","Halodule",3,29,85,NA,NA,NA
"200409220938-118","Halodule",4,29,85,NA,NA,NA
"200409220938-118","Halodule",5,29,85,NA,NA,NA
"200409220938-118","Halodule",6,29,85,NA,NA,NA
"200409220938-118","Halodule",7,29,85,NA,NA,NA
"200409220938-118","Halodule",8,29,85,NA,NA,NA
"200409220938-118","Halodule",9,29,85,NA,NA,NA
"200409220938-118","Macroalgae",1,NA,NA,NA,NA,NA
"200409220938-118","Macroalgae",2,NA,NA,NA,NA,NA
"200409220938-118","Macroalgae",3,NA,NA,NA,NA,NA
"200409220938-118","Macroalgae",4,NA,NA,NA,NA,NA
"200409220938-118","Macroalgae",5,NA,NA,NA,NA,NA
"200409220938-118","Macroalgae",6,NA,NA,NA,NA,NA
"200409220938-118","Macroalgae",7,NA,NA,NA,NA,NA
"200409220938-118","Macroalgae",8,NA,NA,NA,NA,NA
"200409220938-118","Macroalgae",9,NA,NA,NA,NA,NA
"200409221105-107","Thalassia",1,27,68,NA,NA,NA
"200409221105-107","Thalassia",2,27,68,NA,NA,NA
"200409221105-107","Thalassia",3,27,68,NA,NA,NA
"200409221105-107","Thalassia",4,27,68,NA,NA,NA
"200409221105-107","Thalassia",5,27,68,NA,NA,NA
"200409221105-107","Thalassia",6,27,68,NA,NA,NA
"200409221105-107","Thalassia",7,27,68,NA,NA,NA
"200409221105-107","Thalassia",8,27,68,NA,NA,NA
"200409221105-107","Thalassia",9,27,68,NA,NA,NA
"200409221105-107","Syringodium",1,34,10,NA,NA,NA
"200409221105-107","Syringodium",2,34,10,NA,NA,NA
"200409221105-107","Syringodium",3,34,10,NA,NA,NA
"200409221105-107","Syringodium",4,34,10,NA,NA,NA
"200409221105-107","Syringodium",5,34,10,NA,NA,NA
"200409221105-107","Syringodium",6,34,10,NA,NA,NA
"200409221105-107","Syringodium",7,34,10,NA,NA,NA
"200409221105-107","Syringodium",8,34,10,NA,NA,NA
"200409221105-107","Syringodium",9,34,10,NA,NA,NA
"200409221105-107","Halodule",1,20,0,NA,NA,NA
"200409221105-107","Halodule",2,20,0,NA,NA,NA
"200409221105-107","Halodule",3,20,0,NA,NA,NA
"200409221105-107","Halodule",4,20,0,NA,NA,NA
"200409221105-107","Halodule",5,20,0,NA,NA,NA
"200409221105-107","Halodule",6,20,0,NA,NA,NA
"200409221105-107","Halodule",7,20,0,NA,NA,NA
"200409221105-107","Halodule",8,20,0,NA,NA,NA
"200409221105-107","Halodule",9,20,0,NA,NA,NA
"200409221105-107","Macroalgae",1,NA,NA,NA,NA,NA
"200409221105-107","Macroalgae",2,NA,NA,NA,NA,NA
"200409221105-107","Macroalgae",3,NA,NA,NA,NA,NA
"200409221105-107","Macroalgae",4,NA,NA,NA,NA,NA
"200409221105-107","Macroalgae",5,NA,NA,NA,NA,NA
"200409221105-107","Macroalgae",6,NA,NA,NA,NA,NA
"200409221105-107","Macroalgae",7,NA,NA,NA,NA,NA
"200409221105-107","Macroalgae",8,NA,NA,NA,NA,NA
"200409221105-107","Macroalgae",9,NA,NA,NA,NA,NA
"200409221234-021","Thalassia",1,NA,0,NA,NA,NA
"200409221234-021","Thalassia",2,NA,0,NA,NA,NA
"200409221234-021","Thalassia",3,NA,0,NA,NA,NA
"200409221234-021","Thalassia",4,NA,0,NA,NA,NA
"200409221234-021","Thalassia",5,NA,0,NA,NA,NA
"200409221234-021","Thalassia",6,NA,0,NA,NA,NA
"200409221234-021","Thalassia",7,NA,0,NA,NA,NA
"200409221234-021","Thalassia",8,NA,0,NA,NA,NA
"200409221234-021","Thalassia",9,NA,0,NA,NA,NA
"200409221234-021","Syringodium",1,25,22,NA,NA,NA
"200409221234-021","Syringodium",2,25,22,NA,NA,NA
"200409221234-021","Syringodium",3,25,22,NA,NA,NA
"200409221234-021","Syringodium",4,25,22,NA,NA,NA
"200409221234-021","Syringodium",5,25,22,NA,NA,NA
"200409221234-021","Syringodium",6,25,22,NA,NA,NA
"200409221234-021","Syringodium",7,25,22,NA,NA,NA
"200409221234-021","Syringodium",8,25,22,NA,NA,NA
"200409221234-021","Syringodium",9,25,22,NA,NA,NA
"200409221234-021","Halodule",1,10,0,NA,NA,NA
"200409221234-021","Halodule",2,10,0,NA,NA,NA
"200409221234-021","Halodule",3,10,0,NA,NA,NA
"200409221234-021","Halodule",4,10,0,NA,NA,NA
"200409221234-021","Halodule",5,10,0,NA,NA,NA
"200409221234-021","Halodule",6,10,0,NA,NA,NA
"200409221234-021","Halodule",7,10,0,NA,NA,NA
"200409221234-021","Halodule",8,10,0,NA,NA,NA
"200409221234-021","Halodule",9,10,0,NA,NA,NA
"200409221234-021","Macroalgae",1,NA,NA,NA,NA,NA
"200409221234-021","Macroalgae",2,NA,NA,NA,NA,NA
"200409221234-021","Macroalgae",3,NA,NA,NA,NA,NA
"200409221234-021","Macroalgae",4,NA,NA,NA,NA,NA
"200409221234-021","Macroalgae",5,NA,NA,NA,NA,NA
"200409221234-021","Macroalgae",6,NA,NA,NA,NA,NA
"200409221234-021","Macroalgae",7,NA,NA,NA,NA,NA
"200409221234-021","Macroalgae",8,NA,NA,NA,NA,NA
"200409221234-021","Macroalgae",9,NA,NA,NA,NA,NA
"200409221515-158","Thalassia",1,32,0,NA,NA,NA
"200409221515-158","Thalassia",2,32,0,NA,NA,NA
"200409221515-158","Thalassia",3,32,0,NA,NA,NA
"200409221515-158","Thalassia",4,32,0,NA,NA,NA
"200409221515-158","Thalassia",5,32,0,NA,NA,NA
"200409221515-158","Thalassia",6,32,0,NA,NA,NA
"200409221515-158","Thalassia",7,32,0,NA,NA,NA
"200409221515-158","Thalassia",8,32,0,NA,NA,NA
"200409221515-158","Thalassia",9,32,0,NA,NA,NA
"200409221515-158","Syringodium",1,28,13,NA,NA,NA
"200409221515-158","Syringodium",2,28,13,NA,NA,NA
"200409221515-158","Syringodium",3,28,13,NA,NA,NA
"200409221515-158","Syringodium",4,28,13,NA,NA,NA
"200409221515-158","Syringodium",5,28,13,NA,NA,NA
"200409221515-158","Syringodium",6,28,13,NA,NA,NA
"200409221515-158","Syringodium",7,28,13,NA,NA,NA
"200409221515-158","Syringodium",8,28,13,NA,NA,NA
"200409221515-158","Syringodium",9,28,13,NA,NA,NA
"200409221515-158","Halodule",1,14,1,NA,NA,NA
"200409221515-158","Halodule",2,14,1,NA,NA,NA
"200409221515-158","Halodule",3,14,1,NA,NA,NA
"200409221515-158","Halodule",4,14,1,NA,NA,NA
"200409221515-158","Halodule",5,14,1,NA,NA,NA
"200409221515-158","Halodule",6,14,1,NA,NA,NA
"200409221515-158","Halodule",7,14,1,NA,NA,NA
"200409221515-158","Halodule",8,14,1,NA,NA,NA
"200409221515-158","Halodule",9,14,1,NA,NA,NA
"200409221515-158","Macroalgae",1,NA,NA,NA,NA,NA
"200409221515-158","Macroalgae",2,NA,NA,NA,NA,NA
"200409221515-158","Macroalgae",3,NA,NA,NA,NA,NA
"200409221515-158","Macroalgae",4,NA,NA,NA,NA,NA
"200409221515-158","Macroalgae",5,NA,NA,NA,NA,NA
"200409221515-158","Macroalgae",6,NA,NA,NA,NA,NA
"200409221515-158","Macroalgae",7,NA,NA,NA,NA,NA
"200409221515-158","Macroalgae",8,NA,NA,NA,NA,NA
"200409221515-158","Macroalgae",9,NA,NA,NA,NA,NA
"200409221336-101","Thalassia",1,25,0,NA,NA,NA
"200409221336-101","Thalassia",2,25,0,NA,NA,NA
"200409221336-101","Thalassia",3,25,0,NA,NA,NA
"200409221336-101","Thalassia",4,25,0,NA,NA,NA
"200409221336-101","Thalassia",5,25,0,NA,NA,NA
"200409221336-101","Thalassia",6,25,0,NA,NA,NA
"200409221336-101","Thalassia",7,25,0,NA,NA,NA
"200409221336-101","Thalassia",8,25,0,NA,NA,NA
"200409221336-101","Thalassia",9,25,0,NA,NA,NA
"200409221336-101","Syringodium",1,41,19,NA,NA,NA
"200409221336-101","Syringodium",2,41,19,NA,NA,NA
"200409221336-101","Syringodium",3,41,19,NA,NA,NA
"200409221336-101","Syringodium",4,41,19,NA,NA,NA
"200409221336-101","Syringodium",5,41,19,NA,NA,NA
"200409221336-101","Syringodium",6,41,19,NA,NA,NA
"200409221336-101","Syringodium",7,41,19,NA,NA,NA
"200409221336-101","Syringodium",8,41,19,NA,NA,NA
"200409221336-101","Syringodium",9,41,19,NA,NA,NA
"200409221336-101","Halodule",1,11,1,NA,NA,NA
"200409221336-101","Halodule",2,11,1,NA,NA,NA
"200409221336-101","Halodule",3,11,1,NA,NA,NA
"200409221336-101","Halodule",4,11,1,NA,NA,NA
"200409221336-101","Halodule",5,11,1,NA,NA,NA
"200409221336-101","Halodule",6,11,1,NA,NA,NA
"200409221336-101","Halodule",7,11,1,NA,NA,NA
"200409221336-101","Halodule",8,11,1,NA,NA,NA
"200409221336-101","Halodule",9,11,1,NA,NA,NA
"200409221336-101","Macroalgae",1,NA,NA,NA,NA,NA
"200409221336-101","Macroalgae",2,NA,NA,NA,NA,NA
"200409221336-101","Macroalgae",3,NA,NA,NA,NA,NA
"200409221336-101","Macroalgae",4,NA,NA,NA,NA,NA
"200409221336-101","Macroalgae",5,NA,NA,NA,NA,NA
"200409221336-101","Macroalgae",6,NA,NA,NA,NA,NA
"200409221336-101","Macroalgae",7,NA,NA,NA,NA,NA
"200409221336-101","Macroalgae",8,NA,NA,NA,NA,NA
