"keyfield","com_nm","sci_nm","length","tot_count"
"200410191401-023","Bluestriped Grunt","Haemulon sciurus",58,1
"200410191401-023","Hogfish","Lachnolaimus maximus",70,2
"200410191401-023","Hogfish","Lachnolaimus maximus",76,2
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",55,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",57,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",57,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",60,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",70,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",71,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",74,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",78,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",80,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",85,11
"200410191445-024","Atlantic Spadefish","Chaetodipterus faber",100,11
"200410191445-024","Caribbean Spiny Lobster","Panulirus argus",135,2
"200410191445-024","Caribbean Spiny Lobster","Panulirus argus",145,2
"200410200933-105","Bluestriped Grunt","Haemulon sciurus",70,1
"200410200933-105","Barred Hamlet","Hypoplectrus puella",60,1
"200410201048-040","Barred Hamlet","Hypoplectrus puella",50,2
"200410201048-040","Barred Hamlet","Hypoplectrus puella",55,2
"200410201253-123","Barred Hamlet","Hypoplectrus puella",47,1
"200410201340-136","Spotted Seatrout","Cynoscion nebulosus",40,1
"200410201445-124","Atlantic Bay Scallop","Argopecten irradians",49,1
"200410201445-124","Lined Seahorse","Hippocampus erectus",115,1
"200410201445-124","Yellowtail Snapper","Ocyurus chrysurus",86,1
"200410210934-144","Atlantic Bay Scallop","Argopecten irradians",50,1
"200410211053-145","Bluestriped Grunt","Haemulon sciurus",83,1
"200410211203-133","Atlantic Bay Scallop","Argopecten irradians",40,1
"200410211203-133","Spotted Seatrout","Cynoscion nebulosus",73,1
"200410211546-135","Atlantic Bay Scallop","Argopecten irradians",59,1
"200410230930-130","Atlantic Bay Scallop","Argopecten irradians",54,1
"200410231038-143","Barred Hamlet","Hypoplectrus puella",68,1
"200410231140-157","Barred Hamlet","Hypoplectrus puella",60,1
"200410231621-254","Atlantic Bay Scallop","Argopecten irradians",46,1
"200410241200-068","Spotted Seatrout","Cynoscion nebulosus",82,1
"200410241200-068","Barred Hamlet","Hypoplectrus puella",41,2
"200410241200-068","Barred Hamlet","Hypoplectrus puella",55,2
"200410241432-071","Gag Grouper","Mycteroperca microlepis",61,1
"200410250851-304","Great Barracuda","Sphyraena barracuda",134,1
"200410251600-271","Atlantic Bay Scallop","Argopecten irradians",47,1
"200410251600-271","Spotted Seatrout","Cynoscion nebulosus",54,2
"200410251600-271","Spotted Seatrout","Cynoscion nebulosus",122,2
"200410261530-279","Spotted Seatrout","Cynoscion nebulosus",165,1
"200410261530-279","Bluestriped Grunt","Haemulon sciurus",90,1
"200411111019-106","Barred Hamlet","Hypoplectrus puella",63,1
"200411111019-106","Gag Grouper","Mycteroperca microlepis",230,1
"200411111019-106","Great Barracuda","Sphyraena barracuda",95,1
"200411111218-118","Atlantic Bay Scallop","Argopecten irradians",50,1
"200411111330-119","Atlantic Bay Scallop","Argopecten irradians",50,3
"200411111330-119","Atlantic Bay Scallop","Argopecten irradians",55,3
"200411111330-119","Atlantic Bay Scallop","Argopecten irradians",60,3
"200411121301-172","Bluestriped Grunt","Haemulon sciurus",140,1
"200411131149-124","Barred Hamlet","Hypoplectrus puella",69,1
"200411131314-123","Lined Seahorse","Hippocampus erectus",125,1
"200411131314-123","Barred Hamlet","Hypoplectrus puella",67,1
"200411131400-122","Yellowtail Snapper","Ocyurus chrysurus",92,1
"200411131615-068","Spotted Seatrout","Cynoscion nebulosus",46,1
"200411141038-265","Atlantic Spadefish","Chaetodipterus faber",91,1
"200411141121-279","Spotted Seatrout","Cynoscion nebulosus",108,3
"200411141121-279","Spotted Seatrout","Cynoscion nebulosus",148,3
"200411141121-279","Spotted Seatrout","Cynoscion nebulosus",177,3
"200411141228-280","Great Barracuda","Sphyraena barracuda",78,1
"20041114NA-278","Spotted Seatrout","Cynoscion nebulosus",137,1
"200411160940-621","Bluestriped Grunt","Haemulon sciurus",93,2
"200411160940-621","Bluestriped Grunt","Haemulon sciurus",115,2
"200411160940-621","Great Barracuda","Sphyraena barracuda",125,1
"200411161038-618","Great Barracuda","Sphyraena barracuda",120,1
"200506150946-147","Spotted Seatrout","Cynoscion nebulosus",70,1
"200506151312-111","Yellowtail Snapper","Ocyurus chrysurus",123,1
"200506151605-137","Lined Seahorse","Hippocampus erectus",145,1
"200506161120-117","Lined Seahorse","Hippocampus erectus",130,1
"200506161212-143","Sheepshead","Archosargus probatocephalus",28,3
"200506161212-143","Sheepshead","Archosargus probatocephalus",39,3
"200506161212-143","Sheepshead","Archosargus probatocephalus",43,3
"200506161212-143","Lined Seahorse","Hippocampus erectus",80,1
"200506161330-157","Sheepshead","Archosargus probatocephalus",28,2
"200506161330-157","Sheepshead","Archosargus probatocephalus",40,2
"200506161500-071","Lined Seahorse","Hippocampus erectus",51,1
"200506171215-156","Atlantic Bay Scallop","Argopecten irradians",30,2
"200506171215-156","Atlantic Bay Scallop","Argopecten irradians",33,2
"200506171215-156","Hogfish","Lachnolaimus maximus",30,1
"200506171328-167","Sheepshead","Archosargus probatocephalus",30,2
"200506171328-167","Sheepshead","Archosargus probatocephalus",34,2
"200506191100-280","Lined Seahorse","Hippocampus erectus",73,1
"200506191145-278","Atlantic Spadefish","Chaetodipterus faber",178,1
"200506191145-278","Spotted Seatrout","Cynoscion nebulosus",31,1
"200506201335-281","Lined Seahorse","Hippocampus erectus",140,1
"200507131009-616","Bluestriped Grunt","Haemulon sciurus",115,1
"200507141234-258","Great Barracuda","Sphyraena barracuda",26,3
"200507141234-258","Great Barracuda","Sphyraena barracuda",65,3
"200507141234-258","Great Barracuda","Sphyraena barracuda",72,3
"200507150947-145","Bluestriped Grunt","Haemulon sciurus",65,1
"200507151530-124","Atlantic Bay Scallop","Argopecten irradians",29,1
"200507151530-124","Bluestriped Grunt","Haemulon sciurus",57,7
"200507151530-124","Bluestriped Grunt","Haemulon sciurus",61,7
"200507151530-124","Bluestriped Grunt","Haemulon sciurus",112,7
"200507151530-124","Bluestriped Grunt","Haemulon sciurus",120,7
"200507151530-124","Bluestriped Grunt","Haemulon sciurus",120,7
"200507151530-124","Bluestriped Grunt","Haemulon sciurus",178,7
"200507151530-124","Bluestriped Grunt","Haemulon sciurus",180,7
"200507161030-108","Atlantic Bay Scallop","Argopecten irradians",56,1
"200507161030-108","Lined Seahorse","Hippocampus erectus",95,1
"200507161030-108","Great Barracuda","Sphyraena barracuda",34,1
"200507161145-107","Atlantic Bay Scallop","Argopecten irradians",39,1
"200507161440-022","Lined Seahorse","Hippocampus erectus",91,1
"200507161440-022","Hogfish","Lachnolaimus maximus",34,1
"200507170839-266","Spotted Seatrout","Cynoscion nebulosus",80,1
"200507171050-278","Spotted Seatrout","Cynoscion nebulosus",62,2
"200507171050-278","Spotted Seatrout","Cynoscion nebulosus",72,2
"200507171215-175","Spotted Seatrout","Cynoscion nebulosus",78,1
"200507191139-073","Spotted Seatrout","Cynoscion nebulosus",38,1
"200510180934-619","Spotted Seatrout","Cynoscion nebulosus",60,2
"200510180934-619","Spotted Seatrout","Cynoscion nebulosus",65,2
"200510181430-324","Spotted Seatrout","Cynoscion nebulosus",59,1
"200510181430-324","Great Barracuda","Sphyraena barracuda",123,1
"200510190845-278","Spotted Seatrout","Cynoscion nebulosus",35,4
"200510190845-278","Spotted Seatrout","Cynoscion nebulosus",55,4
"200510190845-278","Spotted Seatrout","Cynoscion nebulosus",56,4
"200510190845-278","Spotted Seatrout","Cynoscion nebulosus",76,4
"200510191117-279","Spotted Seatrout","Cynoscion nebulosus",56,1
"200510191350-267","Spotted Seatrout","Cynoscion nebulosus",76,2
"200510191350-267","Spotted Seatrout","Cynoscion nebulosus",143,2
"200510191350-267","Great Barracuda","Sphyraena barracuda",110,1
"200510191427-291","Spotted Seatrout","Cynoscion nebulosus",60,1
"200510191504-290","Great Barracuda","Sphyraena barracuda",122,1
"200510191600-609","Spotted Seatrout","Cynoscion nebulosus",57,1
"200510201037-159","Spotted Seatrout","Cynoscion nebulosus",107,1
"200510201420-283","Spotted Seatrout","Cynoscion nebulosus",33,3
"200510201420-283","Spotted Seatrout","Cynoscion nebulosus",65,3
"200510201420-283","Spotted Seatrout","Cynoscion nebulosus",68,3
"200511091037-226","Spotted Seatrout","Cynoscion nebulosus",32,2
"200511091037-226","Spotted Seatrout","Cynoscion nebulosus",135,2
"200511091037-226","Great Barracuda","Sphyraena barracuda",35,1
"200511091605-241","Spotted Seatrout","Cynoscion nebulosus",88,1
"200511100752-244","Spotted Seatrout","Cynoscion nebulosus",90,2
"200511100752-244","Spotted Seatrout","Cynoscion nebulosus",112,2
"200511100841-243","Spotted Seatrout","Cynoscion nebulosus",90,1
"200511100841-243","Great Barracuda","Sphyraena barracuda",200,1
"200511101017-266","Atlantic Spadefish","Chaetodipterus faber",60,1
"200511101017-266","Yellowtail Snapper","Ocyurus chrysurus",114,1
"200511101017-266","Great Barracuda","Sphyraena barracuda",133,1
"200511101052-265","Spotted Seatrout","Cynoscion nebulosus",33,2
"200511101052-265","Spotted Seatrout","Cynoscion nebulosus",128,2
"200511101137-278","Spotted Seatrout","Cynoscion nebulosus",47,1
"200511101137-278","Schoolmaster Snapper","Lutjanus apodus",98,1
"200511101137-278","Great Barracuda","Sphyraena barracuda",185,1
"200511101416-280","Spotted Seatrout","Cynoscion nebulosus",81,1
"200511101416-280","Great Barracuda","Sphyraena barracuda",169,2
"200511101416-280","Great Barracuda","Sphyraena barracuda",172,2
"200511101523-282","Great Barracuda","Sphyraena barracuda",195,1
"200511111232-073","Spotted Seatrout","Cynoscion nebulosus",80,2
"200511111232-073","Spotted Seatrout","Cynoscion nebulosus",95,2
"200511111506-174","Lane Snapper","Lutjanus synagris",17,8
"200511111506-174","Lane Snapper","Lutjanus synagris",17,8
"200511111506-174","Lane Snapper","Lutjanus synagris",17,8
"200511111506-174","Lane Snapper","Lutjanus synagris",17,8
"200511111506-174","Lane Snapper","Lutjanus synagris",17,8
"200511111506-174","Lane Snapper","Lutjanus synagris",17,8
"200511111506-174","Lane Snapper","Lutjanus synagris",17,8
"200511111506-174","Lane Snapper","Lutjanus synagris",17,8
"200511111549-237","Spotted Seatrout","Cynoscion nebulosus",145,1
"200511120848-117","Bluestriped Grunt","Haemulon sciurus",94,1
"200511121038-108","Bluestriped Grunt","Haemulon sciurus",98,1
"200511121545-251","Spotted Seatrout","Cynoscion nebulosus",93,2
"200511121545-251","Spotted Seatrout","Cynoscion nebulosus",102,2
"200511131323-408","Great Barracuda","Sphyraena barracuda",100,1
"200511131411-407","Great Barracuda","Sphyraena barracuda",94,1
"200511141148-609","Spotted Seatrout","Cynoscion nebulosus",40,1
"200511141148-609","Bluestriped Grunt","Haemulon sciurus",95,1
"200511141334-301","Great Barracuda","Sphyraena barracuda",125,1
"200511151000-101","Blue Croaker","Corvula batabana",118,3
"200511151000-101","Blue Croaker","Corvula batabana",130,3
"200511151000-101","Blue Croaker","Corvula batabana",134,3
"200511151000-101","Atlantic Spadefish","Chaetodipterus faber",44,5
"200511151000-101","Atlantic Spadefish","Chaetodipterus faber",53,5
"200511151000-101","Atlantic Spadefish","Chaetodipterus faber",54,5
"200511151000-101","Atlantic Spadefish","Chaetodipterus faber",65,5
"200511151000-101","Atlantic Spadefish","Chaetodipterus faber",78,5
"200511151048-020","Blue Croaker","Corvula batabana",98,5
"200511151048-020","Blue Croaker","Corvula batabana",115,5
"200511151048-020","Blue Croaker","Corvula batabana",137,5
"200511151048-020","Blue Croaker","Corvula batabana",144,5
"200511151048-020","Blue Croaker","Corvula batabana",150,5
"200511151048-020","Atlantic Spadefish","Chaetodipterus faber",100,1
"200511151048-020","Barred Hamlet","Hypoplectrus puella",51,1
"200511151048-020","Hogfish","Lachnolaimus maximus",81,1
"200511151048-020","Caribbean Spiny Lobster","Panulirus argus",100,1
"200511151124-021","Blue Croaker","Corvula batabana",144,1
"200511151124-021","Atlantic Spadefish","Chaetodipterus faber",96,2
"200511151124-021","Atlantic Spadefish","Chaetodipterus faber",98,2
"200511151124-021","Barred Hamlet","Hypoplectrus puella",63,1
"200511180815-304","Spotted Seatrout","Cynoscion nebulosus",37,2
"200511180815-304","Spotted Seatrout","Cynoscion nebulosus",84,2
"200511181000-291","Sheepshead","Archosargus probatocephalus",150,1
"200511181000-291","Atlantic Spadefish","Chaetodipterus faber",34,1
"200511181000-291","Great Barracuda","Sphyraena barracuda",170,1
"200511181040-292","Spotted Seatrout","Cynoscion nebulosus",87,1
"200511181040-292","Great Barracuda","Sphyraena barracuda",130,1
"200511181335-257","Great Barracuda","Sphyraena barracuda",120,1
"200511181410-258","Great Barracuda","Sphyraena barracuda",153,1
"200511190815-271","Great Barracuda","Sphyraena barracuda",137,1
"200606171303-229","Lined Seahorse","Hippocampus erectus",115,2
"200606171303-229","Lined Seahorse","Hippocampus erectus",115,2
"200606181027-107","Atlantic Bay Scallop","Argopecten irradians",37,1
"200606181027-107","Spotted Seatrout","Cynoscion nebulosus",47,1
"200606181300-054","Spotted Seatrout","Cynoscion nebulosus",30,2
"200606181300-054","Spotted Seatrout","Cynoscion nebulosus",30,2
"200606181300-054","Gag Grouper","Mycteroperca microlepis",87,1
"200606181543-112","Atlantic Bay Scallop","Argopecten irradians",38,1
"200606190929-067","Spotted Seatrout","Cynoscion nebulosus",38,8
"200606190929-067","Spotted Seatrout","Cynoscion nebulosus",38,8
"200606190929-067","Spotted Seatrout","Cynoscion nebulosus",38,8
"200606190929-067","Spotted Seatrout","Cynoscion nebulosus",40,8
"200606190929-067","Spotted Seatrout","Cynoscion nebulosus",46,8
"200606190929-067","Spotted Seatrout","Cynoscion nebulosus",54,8
"200606190929-067","Spotted Seatrout","Cynoscion nebulosus",60,8
"200606190929-067","Spotted Seatrout","Cynoscion nebulosus",60,8
"200606191105-068","Spotted Seatrout","Cynoscion nebulosus",30,6
"200606191105-068","Spotted Seatrout","Cynoscion nebulosus",32,6
"200606191105-068","Spotted Seatrout","Cynoscion nebulosus",33,6
"200606191105-068","Spotted Seatrout","Cynoscion nebulosus",33,6
"200606191105-068","Spotted Seatrout","Cynoscion nebulosus",35,6
"200606191105-068","Spotted Seatrout","Cynoscion nebulosus",48,6
"200606191206-070","Atlantic Bay Scallop","Argopecten irradians",45,1
"200606191251-073","Atlantic Bay Scallop","Argopecten irradians",38,1
"200606191600-124","Atlantic Bay Scallop","Argopecten irradians",23,7
"200606191600-124","Atlantic Bay Scallop","Argopecten irradians",32,7
"200606191600-124","Atlantic Bay Scallop","Argopecten irradians",32,7
"200606191600-124","Atlantic Bay Scallop","Argopecten irradians",32,7
"200606191600-124","Atlantic Bay Scallop","Argopecten irradians",35,7
"200606191600-124","Atlantic Bay Scallop","Argopecten irradians",35,7
"200606191600-124","Atlantic Bay Scallop","Argopecten irradians",38,7
"200606191600-124","Lined Seahorse","Hippocampus erectus",120,1
"200606191600-124","Gag Grouper","Mycteroperca microlepis",162,1
"200606191700-137","Spotted Seatrout","Cynoscion nebulosus",34,1
"200606200904-136","Spotted Seatrout","Cynoscion nebulosus",31,2
"200606200904-136","Spotted Seatrout","Cynoscion nebulosus",36,2
"200606201007-135","Bluestriped Grunt","Haemulon sciurus",70,1
"200606201112-144","Atlantic Bay Scallop","Argopecten irradians",35,1
"200606201238-156","Spotted Seatrout","Cynoscion nebulosus",30,1
"200606201320-171","Spotted Seatrout","Cynoscion nebulosus",34,2
"200606201320-171","Spotted Seatrout","Cynoscion nebulosus",34,2
"200606201538-175","Spotted Seatrout","Cynoscion nebulosus",31,8
"200606201538-175","Spotted Seatrout","Cynoscion nebulosus",32,8
"200606201538-175","Spotted Seatrout","Cynoscion nebulosus",34,8
"200606201538-175","Spotted Seatrout","Cynoscion nebulosus",35,8
"200606201538-175","Spotted Seatrout","Cynoscion nebulosus",38,8
"200606201538-175","Spotted Seatrout","Cynoscion nebulosus",40,8
"200606201538-175","Spotted Seatrout","Cynoscion nebulosus",43,8
"200606201538-175","Spotted Seatrout","Cynoscion nebulosus",58,8
"200606210928-146","Spotted Seatrout","Cynoscion nebulosus",37,3
"200606210928-146","Spotted Seatrout","Cynoscion nebulosus",38,3
"200606210928-146","Spotted Seatrout","Cynoscion nebulosus",42,3
"200606210928-146","Lined Seahorse","Hippocampus erectus",110,1
"200606211043-159","Atlantic Bay Scallop","Argopecten irradians",30,1
"200606211138-134","Spotted Seatrout","Cynoscion nebulosus",30,3
"200606211138-134","Spotted Seatrout","Cynoscion nebulosus",33,3
"200606211138-134","Spotted Seatrout","Cynoscion nebulosus",34,3
"200606211253-133","Atlantic Bay Scallop","Argopecten irradians",34,4
"200606211253-133","Atlantic Bay Scallop","Argopecten irradians",36,4
"200606211253-133","Atlantic Bay Scallop","Argopecten irradians",37,4
"200606211253-133","Atlantic Bay Scallop","Argopecten irradians",42,4
"200606211253-133","Spotted Seatrout","Cynoscion nebulosus",46,2
"200606211253-133","Spotted Seatrout","Cynoscion nebulosus",52,2
"200606211253-133","Lined Seahorse","Hippocampus erectus",115,1
"200606211522-167","Gag Grouper","Mycteroperca microlepis",145,2
"200606211522-167","Gag Grouper","Mycteroperca microlepis",160,2
"200606211522-167","Yellowtail Snapper","Ocyurus chrysurus",24,1
"200606220925-280","Atlantic Bay Scallop","Argopecten irradians",34,1
"200606221113-265","Atlantic Bay Scallop","Argopecten irradians",30,1
"200606221251-254","Atlantic Bay Scallop","Argopecten irradians",29,1
"200606221425-241","Spotted Seatrout","Cynoscion nebulosus",50,2
"200606221425-241","Spotted Seatrout","Cynoscion nebulosus",200,2
"200606221520-225","Atlantic Bay Scallop","Argopecten irradians",22,2
"200606221520-225","Atlantic Bay Scallop","Argopecten irradians",23,2
"200606231336-326","Lined Seahorse","Hippocampus erectus",90,1
"200606241128-312","Spotted Seatrout","Cynoscion nebulosus",68,1
"200606241128-312","Lined Seahorse","Hippocampus erectus",88,2
"200606241128-312","Lined Seahorse","Hippocampus erectus",110,2
"200606261044-282","Spotted Seatrout","Cynoscion nebulosus",59,1
"200606261044-282","Lined Seahorse","Hippocampus erectus",75,2
"200606261044-282","Lined Seahorse","Hippocampus erectus",100,2
"200607150948-228","Lined Seahorse","Hippocampus erectus",90,1
"200607151206-255","Atlantic Bay Scallop","Argopecten irradians",32,2
"200607151206-255","Atlantic Bay Scallop","Argopecten irradians",40,2
"200607151516-224","Atlantic Bay Scallop","Argopecten irradians",30,1
"200607160949-117","Spotted Seatrout","Cynoscion nebulosus",39,1
"200607161039-106","Atlantic Bay Scallop","Argopecten irradians",45,1
"200607161039-106","Spotted Seatrout","Cynoscion nebulosus",46,2
"200607161039-106","Spotted Seatrout","Cynoscion nebulosus",113,2
"200607161200-101","Great Barracuda","Sphyraena barracuda",50,1
"200607161342-022","Atlantic Spadefish","Chaetodipterus faber",105,1
"200607161342-022","Caribbean Spiny Lobster","Panulirus argus",230,1
"200607161500-023","Lined Seahorse","Hippocampus erectus",110,2
"200607161500-023","Lined Seahorse","Hippocampus erectus",115,2
"200607161500-023","Hogfish","Lachnolaimus maximus",40,1
"200607161500-023","Gag Grouper","Mycteroperca microlepis",185,1
"200607161500-023","Yellowtail Snapper","Ocyurus chrysurus",130,1
"200607161500-023","Caribbean Spiny Lobster","Panulirus argus",220,1
"200607171059-621","Spotted Seatrout","Cynoscion nebulosus",203,1
"200607181032-108","Spotted Seatrout","Cynoscion nebulosus",44,2
"200607181032-108","Spotted Seatrout","Cynoscion nebulosus",53,2
"200607181138-119","Spotted Seatrout","Cynoscion nebulosus",118,1
"200607181245-118","Atlantic Bay Scallop","Argopecten irradians",40,1
"200607181530-145","Atlantic Bay Scallop","Argopecten irradians",39,1
"200607181530-145","Spotted Seatrout","Cynoscion nebulosus",49,2
"200607181530-145","Spotted Seatrout","Cynoscion nebulosus",62,2
"200607190916-065","Spotted Seatrout","Cynoscion nebulosus",63,1
"200607190916-065","Great Barracuda","Sphyraena barracuda",40,4
"200607190916-065","Great Barracuda","Sphyraena barracuda",42,4
"200607190916-065","Great Barracuda","Sphyraena barracuda",43,4
"200607190916-065","Great Barracuda","Sphyraena barracuda",62,4
"200607191047-071","Spotted Seatrout","Cynoscion nebulosus",30,2
"200607191047-071","Spotted Seatrout","Cynoscion nebulosus",33,2
"200607191154-156","Spotted Seatrout","Cynoscion nebulosus",65,1
"200607201232-265","Spotted Seatrout","Cynoscion nebulosus",98,1
"200607201438-237","Atlantic Bay Scallop","Argopecten irradians",40,1
"200607201438-237","Gag Grouper","Mycteroperca microlepis",205,1
"200607201600-267","Atlantic Bay Scallop","Argopecten irradians",40,1
"200607220956-135","Atlantic Bay Scallop","Argopecten irradians",39,1
"200607220956-135","Spotted Seatrout","Cynoscion nebulosus",36,1
"200607221111-122","Atlantic Bay Scallop","Argopecten irradians",36,1
"200607221111-122","Spotted Seatrout","Cynoscion nebulosus",31,2
"200607221111-122","Spotted Seatrout","Cynoscion nebulosus",133,2
"200607221111-122","Gag Grouper","Mycteroperca microlepis",150,1
"200607221220-111","Atlantic Bay Scallop","Argopecten irradians",42,2
"200607221220-111","Atlantic Bay Scallop","Argopecten irradians",42,2
"200607221338-123","Atlantic Bay Scallop","Argopecten irradians",40,5
"200607221338-123","Atlantic Bay Scallop","Argopecten irradians",44,5
"200607221338-123","Atlantic Bay Scallop","Argopecten irradians",50,5
"200607221338-123","Atlantic Bay Scallop","Argopecten irradians",52,5
"200607221338-123","Atlantic Bay Scallop","Argopecten irradians",53,5
"200607221338-123","Spotted Seatrout","Cynoscion nebulosus",32,1
"200607221338-123","Great Barracuda","Sphyraena barracuda",64,1
"200607221439-124","Atlantic Bay Scallop","Argopecten irradians",35,3
"200607221439-124","Atlantic Bay Scallop","Argopecten irradians",38,3
"200607221439-124","Atlantic Bay Scallop","Argopecten irradians",38,3
"200607221439-124","Spotted Seatrout","Cynoscion nebulosus",32,2
"200607221439-124","Spotted Seatrout","Cynoscion nebulosus",39,2
"200607221439-124","Gag Grouper","Mycteroperca microlepis",133,1
"200607221551-133","Spotted Seatrout","Cynoscion nebulosus",95,1
"200607230954-312","Lined Seahorse","Hippocampus erectus",115,1
"200607231304-280","Lined Seahorse","Hippocampus erectus",168,1
"200607231400-281","Spotted Seatrout","Cynoscion nebulosus",32,2
"200607231400-281","Spotted Seatrout","Cynoscion nebulosus",70,2
"200607240915-283","Spotted Seatrout","Cynoscion nebulosus",32,4
"200607240915-283","Spotted Seatrout","Cynoscion nebulosus",34,4
"200607240915-283","Spotted Seatrout","Cynoscion nebulosus",39,4
"200607240915-283","Spotted Seatrout","Cynoscion nebulosus",44,4
"200607240915-283","Lined Seahorse","Hippocampus erectus",125,2
"200607240915-283","Lined Seahorse","Hippocampus erectus",125,2
"200607241005-269","Spotted Seatrout","Cynoscion nebulosus",30,7
"200607241005-269","Spotted Seatrout","Cynoscion nebulosus",30,7
"200607241005-269","Spotted Seatrout","Cynoscion nebulosus",31,7
"200607241005-269","Spotted Seatrout","Cynoscion nebulosus",31,7
"200607241005-269","Spotted Seatrout","Cynoscion nebulosus",33,7
"200607241005-269","Spotted Seatrout","Cynoscion nebulosus",37,7
"200607241005-269","Spotted Seatrout","Cynoscion nebulosus",78,7
"200607241059-270","Spotted Seatrout","Cynoscion nebulosus",31,1
"200607241147-257","Spotted Seatrout","Cynoscion nebulosus",30,3
"200607241147-257","Spotted Seatrout","Cynoscion nebulosus",32,3
"200607241147-257","Spotted Seatrout","Cynoscion nebulosus",34,3
"200607241241-271","Lined Seahorse","Hippocampus erectus",100,3
"200607241241-271","Lined Seahorse","Hippocampus erectus",100,3
"200607241241-271","Lined Seahorse","Hippocampus erectus",115,3
"200608160906-130","Spotted Seatrout","Cynoscion nebulosus",35,1
"200608160906-130","Bluestriped Grunt","Haemulon sciurus",73,1
"200608161010-054","Spotted Seatrout","Cynoscion nebulosus",36,1
"200608161010-054","Sailor's Grunt","Haemulon parra",34,1
"200608161010-054","Great Barracuda","Sphyraena barracuda",29,1
"200608161244-119","Schoolmaster Snapper","Lutjanus apodus",120,1
"200608161434-067","Sailor's Grunt","Haemulon parra",28,1
"200608170945-123","Atlantic Bay Scallop","Argopecten irradians",39,4
"200608170945-123","Atlantic Bay Scallop","Argopecten irradians",46,4
"200608170945-123","Atlantic Bay Scallop","Argopecten irradians",50,4
"200608170945-123","Atlantic Bay Scallop","Argopecten irradians",54,4
"200608171106-124","Atlantic Bay Scallop","Argopecten irradians",45,1
"200608171106-124","Spotted Seatrout","Cynoscion nebulosus",31,1
"200608171206-112","Atlantic Bay Scallop","Argopecten irradians",52,4
"200608171206-112","Atlantic Bay Scallop","Argopecten irradians",55,4
"200608171206-112","Atlantic Bay Scallop","Argopecten irradians",55,4
"200608171206-112","Atlantic Bay Scallop","Argopecten irradians",56,4
"200608171206-112","Spotted Seatrout","Cynoscion nebulosus",52,1
"200608171206-112","Great Barracuda","Sphyraena barracuda",80,1
"200608171344-040","Atlantic Bay Scallop","Argopecten irradians",51,2
"200608171344-040","Atlantic Bay Scallop","Argopecten irradians",53,2
"200608171344-040","Lined Seahorse","Hippocampus erectus",160,1
