"keyfield","com_nm","sci_nm","occurrence","abundance","density","year","month","day","time","station","quadrant","lat","long","date","zone","waypoint_start","waypoint_end","tow_time","tow_area","tow_dist_rec","tow_dist_calc","sea_state","atmo","secchi","crew","depth_ft","depth_in","depth_cm","sal","temp","do_sat","do_mgl","chla","cass_spp","cteno_spp","notes","mean_height_Halodule","mean_height_Macroalgae","mean_height_Syringodium","mean_height_Thalassia","mean_height_Algae","mean_pc_Halodule","mean_pc_Macroalgae","mean_pc_Syringodium","mean_pc_Thalassia","mean_pc_Algae"
"200409231311-176","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00202634245187437,2004,9,23,"13:11",176,"W",25.1,-80.866,"9/23/2004","West",NA,NA,NA,493.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,28.1,NA,NA,NA,NA,NA,NA,24,NA,42,27,NA,4,NA,20,10,NA
"200409231205-239","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,23,"12:05",239,"E",25.1,-80.839,"9/23/2004","Rankin",NA,NA,NA,176.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,28.3,NA,NA,NA,NA,NA,NA,13,NA,NA,31,NA,0,NA,0,30,NA
"200409231630-291","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,23,"16:30",291,"W",25.118,-80.76,"9/23/2004","Whipray",NA,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,28.6,NA,NA,NA,NA,NA,NA,16,NA,NA,18,NA,1,NA,0,9,NA
"200409231453-267","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,23,"14:53",267,"W",25.109,-80.799,"9/23/2004","Rankin",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0,NA,0,43,NA
"200409231544-280","Spotted Seatrout","Cynoscion nebulosus",1,1,0.0025062656641604,2004,9,23,"15:44",280,"W",25.12,-80.785,"9/23/2004","Rankin",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,28.9,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0,NA,0,0,NA
"200409240912-124","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,24,"9:12",124,"S",24.999,-80.914,"9/24/2004","West",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,27.2,NA,NA,NA,NA,NA,NA,21,NA,29,32,NA,24,NA,26,10,NA
"200409241130-146","Spotted Seatrout","Cynoscion nebulosus",1,2,0.00423280423280423,2004,9,24,"11:30",146,"S",25.059,-80.921,"9/24/2004","West",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,27.2,NA,NA,NA,NA,NA,NA,28,NA,41,30,NA,36,NA,62,7,NA
"200409241245-134","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,24,"12:45",134,"N",25.048,-80.935,"9/24/2004","West",NA,NA,NA,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,27.3,NA,NA,NA,NA,NA,NA,27,NA,35,29,NA,29,NA,17,31,NA
"200409241024-122","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,24,"10:24",122,"S",25.025,-80.938,"9/24/2004","West",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,27.4,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,0,NA,88,0,NA
"200409241345-145","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,9,24,"13:45",145,"S",25.072,-80.933,"9/24/2004","West",NA,NA,NA,472.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,28.2,NA,NA,NA,NA,NA,NA,24,NA,31,34,NA,2,NA,34,88,NA
"200410171035-229","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,17,"10:35",229,"N",25.026,-80.794,"10/17/2004","Rankin",NA,NA,NA,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0,NA,0,35,NA
"200410171130-228","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,17,"11:30",228,"W",25.038,-80.806,"10/17/2004","Rankin",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,NA,0,20,NA
"200410171348-256","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,17,"13:48",256,"N",25.074,-80.787,"10/17/2004","Whipray",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200410171627-283","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00238095238095238,2004,10,17,"16:27",283,"N",25.081,-80.75,"10/17/2004","Whipray",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,26,NA,NA,NA,NA,NA,NA,9,NA,NA,19,NA,0,NA,0,53,NA
"200410171444-269","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,17,"14:44",269,"E",25.083,-80.776,"10/17/2004","Whipray",NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26.5,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,4,NA,0,20,NA
"200410171540-282","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,17,"15:40",282,"W",25.094,-80.762,"10/17/2004","Whipray",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,27,NA,NA,NA,NA,NA,NA,11,NA,10,21,NA,1,NA,1,36,NA
"200410181102-315","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,18,"11:02",315,"E",25.101,-80.696,"10/18/2004","Crocodile",NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200410181014-325","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,18,"10:14",325,"S",25.112,-80.682,"10/18/2004","Crocodile",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0,NA,0,23,NA
"200410181240-622","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,18,"12:40",622,"W",25.157,-80.651,"10/18/2004","Crocodile",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,27,NA,NA,NA,NA,NA,NA,6,NA,NA,12,NA,0,NA,0,10,NA
"200410181440-616","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,18,"14:40",616,"S",25.148,-80.691,"10/18/2004","Crocodile",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0,NA,0,88,NA
"200410181526-401","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,18,"15:26",401,"E",25.135,-80.68,"10/18/2004","Crocodile",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,0,NA,0,9,NA
"200410181630-402","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,18,"16:30",402,"N",25.122,-80.668,"10/18/2004","Crocodile",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0,NA,0,9,NA
"200410181346-621","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00280112044817927,2004,10,18,"13:46",621,"W",25.167,-80.664,"10/18/2004","Crocodile",NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,28,NA,NA,NA,NA,NA,NA,6,NA,NA,13,NA,0,NA,0,14,NA
"200410191000-021","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,19,"10:00",21,"E",25.069,-81.051,"10/19/2004","West",NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,0,NA,88,0,NA
"200410191108-101","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,19,"11:08",101,"S",25.08,-81.037,"10/19/2004","West",NA,NA,NA,283.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26.5,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,0,NA,44,0,NA
"200410191300-022","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,19,"13:00",22,"N",25.056,-81.039,"10/19/2004","West",NA,NA,NA,480.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200410191445-024","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,19,"14:45",24,"W",25.031,-81.015,"10/19/2004","West",NA,NA,NA,449.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,28.5,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,0,NA,58,0,NA
"200410191401-023","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,19,"14:01",23,"N",25.044,-81.027,"10/19/2004","West",NA,NA,NA,359.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,29,NA,NA,NA,NA,NA,NA,16,NA,39,NA,NA,1,NA,36,0,NA
"200410200933-105","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,20,"9:33",105,"W",25.029,-80.989,"10/20/2004","West",NA,NA,NA,350.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,27.5,NA,NA,NA,NA,NA,NA,19,NA,25,39,NA,88,NA,8,1,NA
"200410201048-040","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,20,"10:48",40,"W",25.016,-80.978,"10/20/2004","West",NA,NA,NA,384.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,28,NA,NA,NA,NA,NA,NA,19,NA,32,37,NA,13,NA,10,0,NA
"200410201253-123","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,20,"12:53",123,"S",25.012,-80.926,"10/20/2004","West",NA,NA,NA,449.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,28.5,NA,NA,NA,NA,NA,NA,10,NA,47,NA,NA,0,NA,55,0,NA
"200410201445-124","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,20,"14:45",124,"W",24.999,-80.914,"10/20/2004","West",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,29.5,NA,NA,NA,NA,NA,NA,17,NA,59,NA,NA,1,NA,88,0,NA
"200410201340-136","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00246730816679003,2004,10,20,"13:40",136,"W",25.023,-80.912,"10/20/2004","West",NA,NA,NA,405.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,29.5,NA,NA,NA,NA,NA,NA,26,NA,25,34,NA,7,NA,34,23,NA
"200410210934-144","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,21,"9:34",144,"S",25.085,-80.945,"10/21/2004","West",NA,NA,NA,365.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,28,NA,NA,NA,NA,NA,NA,25,NA,28,33,NA,88,NA,27,3,NA
"200410211203-133","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00272108843537415,2004,10,21,"12:03",133,"E",25.061,-80.947,"10/21/2004","West",NA,NA,NA,367.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,28.5,NA,NA,NA,NA,NA,NA,26,NA,37,38,NA,0,NA,72,61,NA
"200410211546-135","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,21,"15:46",135,"N",25.036,-80.924,"10/21/2004","West",NA,NA,NA,413.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,28.5,NA,NA,NA,NA,NA,NA,28,NA,31,43,NA,2,NA,58,41,NA
"200410211053-145","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,21,"10:53",145,"E",25.072,-80.933,"10/21/2004","West",NA,NA,NA,354.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,28.5,NA,NA,NA,NA,NA,NA,17,NA,18,29,NA,1,NA,6,31,NA
"200410211257-134","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,21,"12:57",134,"N",25.048,-80.935,"10/21/2004","West",NA,NA,NA,354.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,29,NA,NA,NA,NA,NA,NA,14,NA,18,20,NA,66,NA,10,11,NA
"200410211404-146","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,21,"14:04",146,"E",25.059,-80.921,"10/21/2004","West",NA,NA,NA,413.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,29,NA,NA,NA,NA,NA,NA,25,NA,27,29,NA,1,NA,21,73,NA
"200410211456-147","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,21,"14:56",147,"N",25.046,-80.91,"10/21/2004","West",NA,NA,NA,367.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,29,NA,NA,NA,NA,NA,NA,12,NA,31,26,NA,0,NA,7,28,NA
"200410230930-130","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,23,"9:30",130,"S",25.1,-80.983,"10/23/2004","West",NA,NA,NA,165.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,25.5,NA,NA,NA,NA,NA,NA,25,NA,17,19,NA,3,NA,8,1,NA
"200410231140-157","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,23,"11:40",157,"S",25.096,-80.931,"10/23/2004","West",NA,NA,NA,371.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,26,NA,NA,NA,NA,NA,NA,NA,NA,52,35,NA,0,NA,88,2,NA
"200410231303-168","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,23,"13:03",168,"W",25.094,-80.905,"10/23/2004","West",NA,NA,NA,443.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,26,NA,NA,NA,NA,NA,NA,7,NA,31,NA,NA,0,NA,83,0,NA
"200410231355-169","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,23,"13:55",169,"N",25.081,-80.893,"10/23/2004","West",NA,NA,NA,388.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,26.5,NA,NA,NA,NA,NA,NA,12,NA,35,22,NA,0,NA,5,43,NA
"200410231038-143","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,23,"10:38",143,"W",25.099,-80.958,"10/23/2004","West",NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,27,NA,NA,NA,NA,NA,NA,19,NA,35,31,NA,1,NA,39,5,NA
"200410231621-254","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,23,"16:21",254,"W",25.098,-80.814,"10/23/2004","Rankin",NA,NA,NA,184.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,27.5,NA,NA,NA,NA,NA,NA,16,NA,NA,22,NA,0,NA,0,22,NA
"200410231536-240","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,23,"15:36",240,"E",25.088,-80.828,"10/23/2004","Rankin",NA,NA,NA,264.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,28,NA,NA,NA,NA,NA,NA,9,NA,NA,14,NA,0,NA,0,37,NA
"200410240940-266","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,24,"9:40",266,"W",25.122,-80.811,"10/24/2004","Rankin",NA,NA,NA,218.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,26,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0,NA,0,0,NA
"200410240850-281","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,24,"8:50",281,"S",25.107,-80.774,"10/24/2004","Whipray",NA,NA,NA,323.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26,NA,NA,NA,NA,NA,NA,9,NA,NA,17,NA,2,NA,0,12,NA
"200410241200-068","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00315357931251971,2004,10,24,"12:00",68,"N",25.121,-80.955,"10/24/2004","West",NA,NA,NA,317.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,26.5,NA,NA,NA,NA,NA,NA,NA,NA,47,43,NA,0,NA,70,1,NA
"200410241340-070","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,24,"13:40",70,"E",25.132,-80.941,"10/24/2004","West",NA,NA,NA,243.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,27,NA,NA,NA,NA,NA,NA,23,NA,32,44,NA,6,NA,7,1,NA
"200410241555-174","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,24,"15:55",174,"W",25.128,-80.889,"10/24/2004","West",NA,NA,NA,445.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,27,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,0,NA,6,0,NA
"200410241432-071","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,24,"14:32",71,"S",25.119,-80.929,"10/24/2004","West",NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,27.5,NA,NA,NA,NA,NA,NA,22,NA,20,32,NA,13,NA,9,1,NA
"200410250851-304","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,25,"8:51",304,"N",25.088,-80.713,"10/25/2004","Crocodile",NA,NA,NA,352.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0,NA,0,37,NA
"200410251025-292","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,25,"10:25",292,"N",25.105,-80.748,"10/25/2004","Whipray",NA,NA,NA,384.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,25.5,NA,NA,NA,NA,NA,NA,9,NA,NA,23,NA,2,NA,0,43,NA
"200410250934-226","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,25,"9:34",226,"E",25.064,-80.83,"10/25/2004","Rankin",NA,NA,NA,254.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,26,NA,NA,NA,NA,NA,NA,11,NA,NA,20,NA,0,NA,0,49,NA
"200410251239-301","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,25,"12:39",301,"W",25.129,-80.745,"10/25/2004","Whipray",NA,NA,NA,176.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200410251100-313","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,25,"11:00",313,"S",25.126,-80.72,"10/25/2004","Crocodile",NA,NA,NA,344.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200410251600-271","Spotted Seatrout","Cynoscion nebulosus",1,2,0.0111358574610245,2004,10,25,"16:00",271,"W",25.058,-80.752,"10/25/2004","Whipray",NA,NA,NA,179.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0,NA,0,88,NA
"200410251502-294","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,25,"15:02",294,"W",25.078,-80.728,"10/25/2004","Whipray",NA,NA,NA,371.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,27,NA,NA,NA,NA,NA,NA,8,NA,NA,18,NA,0,NA,0,19,NA
"200410250927-303","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,25,"9:27",303,"E",25.103,-80.722,"10/25/2004","Crocodile",NA,NA,NA,394.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,27,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0,NA,0,0,NA
"200410251322-609","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,25,"13:22",609,"E",25.141,-80.757,"10/25/2004","Whipray",NA,NA,NA,325.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,27,NA,NA,NA,NA,NA,NA,7,NA,NA,13,NA,0,NA,0,21,NA
"200410260900-227","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,26,"9:00",227,"E",25.051,-80.818,"10/26/2004","Rankin",NA,NA,NA,174.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0,NA,0,53,NA
"200410261020-255","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2004,10,26,"10:20",255,"S",25.085,-80.802,"10/26/2004","Rankin",NA,NA,NA,344.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0,NA,0,54,NA
