"keyfield","com_nm","sci_nm","count","bulk_wt"
"200906081002-176","Spotted Seatrout","Cynoscion nebulosus",1,0.88
"200906081305-280","Gulf Pipefish","Syngnathus scovelli",1,0.61
"200906081305-280","Mojarra Spp","Eucinostomus spp",1,0.11
"200906081305-280","Pinfish","Lagodon rhomboides",9,31.9
"200906081305-280","Rainwater Killifish","Lucania parva",28,8.84
"200906081305-280","Sheepshead Minnow","Cyprinodon variegatus",7,4.41
"200906081350-281","Fringed Pipefish","Anarchopterus criniger",1,0.07
"200906081350-281","Mojarra Spp","Eucinostomus spp",9,14.21
"200906081350-281","Sargassum Pipefish","Syngnathus pelagicus",1,3.04
"200906081350-281","Sheepshead Minnow","Cyprinodon variegatus",2,0.3
"200906091100-241","Gulf Toadfish","Opsanus beta",2,4.69
"200906091100-241","Mojarra Spp","Eucinostomus spp",7,0.66
"200906091100-241","Pinfish","Lagodon rhomboides",17,67.83
"200906091100-241","Rainwater Killifish","Lucania parva",35,5.09
"200906101345-314","Gulf Toadfish","Opsanus beta",1,11.88
"200906101345-314","Horned Blenny","Paraclinus grandicornis",2,1.16
"200907110908-173","Mojarra Spp","Eucinostomus spp",6,0.2
"200907110908-173","Pinfish","Lagodon rhomboides",47,260.87
"200907110908-173","Rainwater Killifish","Lucania parva",14,1.15
"200907110908-173","Sheepshead Minnow","Cyprinodon variegatus",3,0.88
"200907110915-147","Great Barracuda","Sphyraena barracuda",1,1.71
"200907110915-147","Gulf Pipefish","Syngnathus scovelli",4,0.56
"200907110915-147","Mojarra Spp","Eucinostomus spp",303,21.58
"200907110915-147","Pinfish","Lagodon rhomboides",12,36.96
"200907110915-147","Rainwater Killifish","Lucania parva",139,10.07
"200907110915-147","Sargassum Pipefish","Syngnathus pelagicus",4,2.26
"200907110915-147","Silver Perch","Bairdiella chrysoura",1,11.25
"200907111105-112","Bluestriped Grunt","Haemulon sciurus",2,0.43
"200907111105-112","Freckled Blenny","Hypsoblennius ionthas",1,0.33
"200907111105-112","Gulf Pipefish","Syngnathus scovelli",4,0.84
"200907111105-112","Marbled Blenny","Paraclinus marmoratus",4,4.53
"200907111105-112","Mojarra Spp","Eucinostomus spp",60,4.64
"200907111105-112","Pinfish","Lagodon rhomboides",72,281.71
"200907111105-112","Planehead Filefish","Stephanolepis hispidus",3,2.3
"200907111105-112","Rainwater Killifish","Lucania parva",67,6.17
"200907111105-112","Sargassum Pipefish","Syngnathus pelagicus",2,0.95
"200907111105-112","Silver Perch","Bairdiella chrysoura",1,2.41
"200907111105-112","White Grunt","Haemulon plumierii",6,19.44
"200907111145-023","Bluestriped Grunt","Haemulon sciurus",2,0.39
"200907111145-023","Mahogany Snapper","Lutjanus mahogoni",1,0.33
"200907111145-023","Mojarra Spp","Eucinostomus spp",9,0.19
"200907111145-023","Pinfish","Lagodon rhomboides",2,6.39
"200907111145-023","Planehead Filefish","Stephanolepis hispidus",2,0.6
"200907111145-023","Sargassum Pipefish","Syngnathus pelagicus",1,0.64
"200907111145-023","Silver Perch","Bairdiella chrysoura",5,3.6
"200907111213-021","Spotted Seatrout","Cynoscion nebulosus",1,0.77
"200907111350-107","Spotted Seatrout","Cynoscion nebulosus",4,2.46
"200907111428-119","Spotted Seatrout","Cynoscion nebulosus",1,0.54
"200907111550-067","Spotted Seatrout","Cynoscion nebulosus",6,6.02
"200907111616-068","Spotted Seatrout","Cynoscion nebulosus",2,1.54
"200907111645-070","Dwarf Seahorse","Hippocampus zosterae",1,0.07
"200907111645-070","Gulf Pipefish","Syngnathus scovelli",10,1.22
"200907111645-070","Inshore Lizardfish","Synodus foetens",2,3.52
"200907111645-070","Mahogany Snapper","Lutjanus mahogoni",2,1.15
"200907111645-070","Mojarra Spp","Eucinostomus spp",391,72.53
"200907111645-070","Pinfish","Lagodon rhomboides",503,1602.05
"200907111645-070","Planehead Filefish","Stephanolepis hispidus",1,0.1
"200907111645-070","Pygmy Filefish","Stephanolepis setifer",1,0.21
"200907111645-070","Rainwater Killifish","Lucania parva",60,7.9
"200907111645-070","Sargassum Pipefish","Syngnathus pelagicus",14,5.88
"200907111645-070","Sheepshead","Archosargus probatocephalus",1,0.1
"200907111645-070","Sheepshead Porgy","Calamus penna",16,50.9
"200907111645-070","Silver Porgy","Diplodus caudimacula",1,0.71
"200907111645-070","Spotted Seatrout","Cynoscion nebulosus",6,1.35
"200907111645-070","White Grunt","Haemulon plumierii",1,2.18
"200907120938-071","Spotted Seatrout","Cynoscion nebulosus",1,0.59
"200907121007-073","Spotted Seatrout","Cynoscion nebulosus",4,4.09
"200907121145-279","Clown Goby","Microgobius gulosus",3,0.12
"200907121145-279","Dwarf Seahorse","Hippocampus zosterae",1,0
"200907121145-279","Gulf Pipefish","Syngnathus scovelli",1,0.5
"200907121145-279","Mojarra Spp","Eucinostomus spp",20,0.65
"200907121145-279","Pinfish","Lagodon rhomboides",5,16.76
"200907121145-279","Rainwater Killifish","Lucania parva",216,24.42
"200907121145-279","Sheepshead Minnow","Cyprinodon variegatus",22,5
"200907121515-302","Mojarra Spp","Eucinostomus spp",34,15.51
"200907121515-302","Rainwater Killifish","Lucania parva",3,0.37
"200907131341-258","Checkered Puffer","Sphoeroides testudineus",1,5.22
"200907131341-258","Gulf Toadfish","Opsanus beta",1,2.49
"200907131341-258","Mojarra Spp","Eucinostomus spp",18,10.54
"200907131341-258","Rainwater Killifish","Lucania parva",2,0.11
"200907131341-258","Sheepshead Minnow","Cyprinodon variegatus",1,0.08
"200907131530-270","Gulf Toadfish","Opsanus beta",1,6.7
"200907131530-270","Mojarra Spp","Eucinostomus spp",69,46.95
"200907131530-270","Pinfish","Lagodon rhomboides",2,20.22
"200907131530-270","Rainwater Killifish","Lucania parva",43,5
"200907131530-270","Sargassum Pipefish","Syngnathus pelagicus",1,1.21
"200907131530-270","Sheepshead Minnow","Cyprinodon variegatus",1,0.51
"200907140909-283","Mojarra Spp","Eucinostomus spp",89,26.89
"200907140909-283","Pinfish","Lagodon rhomboides",3,19.02
"200907140909-283","Rainwater Killifish","Lucania parva",22,2.41
"200907140909-283","Sargassum Pipefish","Syngnathus pelagicus",1,0.35
"200907141100-314","Dwarf Seahorse","Hippocampus zosterae",1,0.07
"200907141100-314","Gulf Toadfish","Opsanus beta",1,7.63
"200907141100-314","Mojarra Spp","Eucinostomus spp",26,11.53
"200907141139-323","Spotted Seatrout","Cynoscion nebulosus",1,0.91
"200907141308-621","Atlantic Needlefish","Strongylura marina",1,0.07
"200907141308-621","Dwarf Seahorse","Hippocampus zosterae",2,0.14
"200907141308-621","Mojarra Spp","Eucinostomus spp",144,105.13
"200907141308-621","Sheepshead Minnow","Cyprinodon variegatus",15,3.43
"200907141422-402","Dwarf Seahorse","Hippocampus zosterae",1,0.02
"200907141422-402","Great Barracuda","Sphyraena barracuda",1,1.49
"200907141422-402","Mojarra Spp","Eucinostomus spp",52,49
"200907141422-402","Sheepshead Minnow","Cyprinodon variegatus",7,0.99
"200908080845-133","Goldspotted Killifish","Floridichthys carpio",3,0.86
"200908080845-133","Gulf Pipefish","Syngnathus scovelli",5,1.83
"200908080845-133","Mahogany Snapper","Lutjanus mahogoni",1,1.79
"200908080845-133","Mojarra Spp","Eucinostomus spp",43,16.8
"200908080845-133","Pinfish","Lagodon rhomboides",59,290.46
"200908080845-133","Rainwater Killifish","Lucania parva",561,73.06
"200908080845-133","Sargassum Pipefish","Syngnathus pelagicus",4,3.53
"200908080845-133","White Grunt","Haemulon plumierii",3,2.98
"200908081015-112","Mahogany Snapper","Lutjanus mahogoni",1,1.7
"200908081015-112","Marbled Blenny","Paraclinus marmoratus",3,3.71
"200908081015-112","Mojarra Spp","Eucinostomus spp",50,13.1
"200908081015-112","Pinfish","Lagodon rhomboides",28,176.82
"200908081015-112","Planehead Filefish","Stephanolepis hispidus",1,2.2
"200908081015-112","Rainwater Killifish","Lucania parva",40,4.96
"200908081015-112","Sargassum Pipefish","Syngnathus pelagicus",6,7.04
"200908081015-112","Silver Perch","Bairdiella chrysoura",2,8.99
"200908081111-022","Barred Hamlet","Hypoplectrus puella",2,8.33
"200908081111-022","Bluestriped Grunt","Haemulon sciurus",1,6.15
"200908081111-022","Grass Porgy","Calamus arctifrons",1,4.01
"200908081111-022","Lane Snapper","Lutjanus synagris",4,14.4
"200908081111-022","Marbled Blenny","Paraclinus marmoratus",1,0.78
"200908081111-022","Mojarra Spp","Eucinostomus spp",74,59.22
"200908081111-022","Pinfish","Lagodon rhomboides",31,278.07
"200908081111-022","Planehead Filefish","Stephanolepis hispidus",12,29.62
"200908081111-022","Sargassum Pipefish","Syngnathus pelagicus",2,2.44
"200908081111-022","Silver Perch","Bairdiella chrysoura",16,71.06
"200908081111-022","Striped Burrfish","Chilomycterus schoepfi",1,30.56
"200908081111-022","White Grunt","Haemulon plumierii",13,37.07
"200908081134-021","Spotted Seatrout","Cynoscion nebulosus",1,0
"200908081253-106","Spotted Seatrout","Cynoscion nebulosus",1,0.55
"200908081425-068","Spotted Seatrout","Cynoscion nebulosus",1,1.67
"200908081443-070","Bay Anchovy","Anchoa mitchilli",2,0.11
"200908081443-070","Code Goby","Gobiosoma robustum",1,0
"200908081443-070","Dwarf Seahorse","Hippocampus zosterae",1,0.1
"200908081443-070","Freckled Blenny","Hypsoblennius ionthas",1,0.55
"200908081443-070","Great Barracuda","Sphyraena barracuda",1,0.18
"200908081443-070","Gulf Pipefish","Syngnathus scovelli",16,3.55
"200908081443-070","Gulf Toadfish","Opsanus beta",1,14.65
"200908081443-070","Inshore Lizardfish","Synodus foetens",3,16.9
"200908081443-070","Lane Snapper","Lutjanus synagris",3,5.29
"200908081443-070","Mojarra Spp","Eucinostomus spp",296,111.17
"200908081443-070","Pigfish","Orthopristis chrysoptera",26,120.53
"200908081443-070","Pinfish","Lagodon rhomboides",317,1221.15
"200908081443-070","Planehead Filefish","Stephanolepis hispidus",1,0.68
"200908081443-070","Rainwater Killifish","Lucania parva",6,1.3
"200908081443-070","Windowpane Flounder","Scophthalmus aquosus",1,2.97
"200908090923-168","Bluestriped Grunt","Haemulon sciurus",3,2.84
"200908090923-168","Goldspotted Killifish","Floridichthys carpio",1,0.15
"200908090923-168","Gulf Pipefish","Syngnathus scovelli",1,0.2
"200908090923-168","Mahogany Snapper","Lutjanus mahogoni",3,2.44
"200908090923-168","Mojarra Spp","Eucinostomus spp",116,40.02
"200908090923-168","Pinfish","Lagodon rhomboides",44,304.41
"200908090923-168","Planehead Filefish","Stephanolepis hispidus",4,4.68
"200908090923-168","Rainwater Killifish","Lucania parva",327,31.4
"200908090923-168","Sargassum Pipefish","Syngnathus pelagicus",3,3.59
"200908090923-168","Silver Perch","Bairdiella chrysoura",1,2.77
"200908091043-278","Spotted Seatrout","Cynoscion nebulosus",1,2.3
"200908091118-266","Mojarra Spp","Eucinostomus spp",13,5.67
"200908091118-266","Pinfish","Lagodon rhomboides",8,67.67
"200908091118-266","Rainwater Killifish","Lucania parva",35,7.59
"200908091118-266","Sheepshead Minnow","Cyprinodon variegatus",2,0.66
"200908091118-266","Silver Perch","Bairdiella chrysoura",1,0.32
"200908091358-301","Clown Goby","Microgobius gulosus",1,0
"200908091358-301","Goldspotted Killifish","Floridichthys carpio",2,1.05
"200908091358-301","Herring Spp","Clupeidae spp",1,0.04
"200908091358-301","Mojarra Spp","Eucinostomus spp",117,144.88
"200908091358-301","Pinfish","Lagodon rhomboides",11,164.19
"200908091358-301","Rainwater Killifish","Lucania parva",1,0.13
"200908091358-301","Sargassum Pipefish","Syngnathus pelagicus",1,1.52
"200908091358-301","Sheepshead Minnow","Cyprinodon variegatus",1,0.24
"200908100903-241","Gulf Pipefish","Syngnathus scovelli",1,1.23
"200908100903-241","Mojarra Spp","Eucinostomus spp",2,0.43
"200908100903-241","Pinfish","Lagodon rhomboides",2,15.86
"200908100903-241","Rainwater Killifish","Lucania parva",31,3.91
"200908100903-241","Sheepshead Minnow","Cyprinodon variegatus",3,0.52
"200908110952-303","Fringed Pipefish","Anarchopterus criniger",1,0.07
"200908110952-303","Mojarra Spp","Eucinostomus spp",6,3.15
"200908111041-618","Clown Goby","Microgobius gulosus",1,0.18
"200908111041-618","Dwarf Seahorse","Hippocampus zosterae",6,0.35
"200908111041-618","Goldspotted Killifish","Floridichthys carpio",9,2.95
"200908111041-618","Mojarra Spp","Eucinostomus spp",273,352.43
"200908111217-402","Goldspotted Killifish","Floridichthys carpio",10,1.93
"200908111217-402","Mojarra Spp","Eucinostomus spp",210,414.35
"200908111217-402","Sargassum Pipefish","Syngnathus pelagicus",2,1.94
"200909120926-134","Goldspotted Killifish","Floridichthys carpio",5,1.2
"200909120926-134","Gulf Pipefish","Syngnathus scovelli",2,2.13
"200909120926-134","Mojarra Spp","Eucinostomus spp",19,13.17
"200909120926-134","Pinfish","Lagodon rhomboides",15,90.83
"200909120926-134","Rainwater Killifish","Lucania parva",193,22.3
"200909121012-122","Great Barracuda","Sphyraena barracuda",2,2.49
"200909121012-122","Gulf Pipefish","Syngnathus scovelli",1,0.08
"200909121012-122","Mojarra Spp","Eucinostomus spp",112,43.84
"200909121012-122","Pinfish","Lagodon rhomboides",6,28.99
"200909121012-122","Rainwater Killifish","Lucania parva",62,7.02
"200909121012-122","Sargassum Pipefish","Syngnathus pelagicus",1,0.77
"200909121104-023","Barred Hamlet","Hypoplectrus puella",1,4.81
"200909121104-023","Bluestriped Grunt","Haemulon sciurus",6,6.22
"200909121104-023","Dwarf Seahorse","Hippocampus zosterae",1,0.09
"200909121104-023","Gulf Pipefish","Syngnathus scovelli",1,0.47
"200909121104-023","Lane Snapper","Lutjanus synagris",7,35.48
"200909121104-023","Mojarra Spp","Eucinostomus spp",132,94.2
"200909121104-023","Pigfish","Orthopristis chrysoptera",1,14.43
"200909121104-023","Pinfish","Lagodon rhomboides",111,630.91
"200909121104-023","Planehead Filefish","Stephanolepis hispidus",22,81.05
"200909121104-023","Rainwater Killifish","Lucania parva",11,2.86
"200909121104-023","Sargassum Pipefish","Syngnathus pelagicus",8,9.33
"200909121104-023","Scrawled Cowfish","Acanthostracion quadricornis",2,18.14
"200909121104-023","Silver Perch","Bairdiella chrysoura",7,78.55
"200909121104-023","Web Burrfish","Chilomycterus antillarum",2,44.23
"200909121104-023","White Grunt","Haemulon plumierii",3,6.17
"200909121428-168","Gulf Pipefish","Syngnathus scovelli",2,0.64
"200909121428-168","Mojarra Spp","Eucinostomus spp",76,63.65
"200909121428-168","Pinfish","Lagodon rhomboides",7,58.2
"200909121428-168","Rainwater Killifish","Lucania parva",65,8.88
"200909121514-070","Bluestriped Grunt","Haemulon sciurus",3,6.77
"200909121514-070","Lane Snapper","Lutjanus synagris",7,25.55
"200909121514-070","Mojarra Spp","Eucinostomus spp",129,190.93
"200909121514-070","Pigfish","Orthopristis chrysoptera",15,115.52
"200909121514-070","Pinfish","Lagodon rhomboides",241,2005.44
"200909121514-070","Planehead Filefish","Stephanolepis hispidus",4,7.52
"200909121514-070","Sargassum Pipefish","Syngnathus pelagicus",2,1.57
"200909121514-070","Silver Perch","Bairdiella chrysoura",9,51.82
"200909121514-070","White Grunt","Haemulon plumierii",3,6.68
"200909131128-266","Code Goby","Gobiosoma robustum",1,0.01
"200909131128-266","Dwarf Seahorse","Hippocampus zosterae",1,0.04
"200909131128-266","Goldspotted Killifish","Floridichthys carpio",6,1.1
"200909131128-266","Mojarra Spp","Eucinostomus spp",9,11.33
"200909131128-266","Pinfish","Lagodon rhomboides",5,40.21
"200909131128-266","Rainwater Killifish","Lucania parva",274,29.22
"200909131231-270","Goldspotted Killifish","Floridichthys carpio",1,0.21
"200909131231-270","Great Barracuda","Sphyraena barracuda",2,3.14
"200909131231-270","Gulf Pipefish","Syngnathus scovelli",1,0.6
"200909131231-270","Mojarra Spp","Eucinostomus spp",62,97.71
"200909131231-270","Pinfish","Lagodon rhomboides",12,153.19
"200909131231-270","Rainwater Killifish","Lucania parva",35,3.67
"200909141038-241","Mojarra Spp","Eucinostomus spp",45,58.1
"200909141038-241","Pinfish","Lagodon rhomboides",6,61.7
"200909141038-241","Rainwater Killifish","Lucania parva",76,7.63
"200909150842-314","Atlantic Spadefish","Chaetodipterus faber",1,29.22
"200909150842-314","Gulf Pipefish","Syngnathus scovelli",2,0.48
"200909150842-314","Mojarra Spp","Eucinostomus spp",87,119.36
"200909150842-314","Pinfish","Lagodon rhomboides",21,270.08
"200909150842-314","Rainwater Killifish","Lucania parva",25,5.41
"200909150920-302","Spotted Seatrout","Cynoscion nebulosus",1,4.46
"200909151020-609","Goldspotted Killifish","Floridichthys carpio",1,0.1
"200909151020-609","Gulf Pipefish","Syngnathus scovelli",1,0.21
"200909151020-609","Mojarra Spp","Eucinostomus spp",174,314.73
"200909151020-609","Pinfish","Lagodon rhomboides",38,465.06
"200909151020-609","Rainwater Killifish","Lucania parva",11,1.14
"200909151201-618","Goldspotted Killifish","Floridichthys carpio",4,1.55
"200909151201-618","Mojarra Spp","Eucinostomus spp",269,604.42
"200909151201-618","Pinfish","Lagodon rhomboides",1,15.85
"200909151201-618","Sheepshead Minnow","Cyprinodon variegatus",3,0.87
"200910101109-621","Dwarf Seahorse","Hippocampus zosterae",1,0.1
"200910101109-621","Goldspotted Killifish","Floridichthys carpio",19,4.55
"200910101109-621","Mojarra Spp","Eucinostomus spp",220,627.94
"200910101109-621","Pinfish","Lagodon rhomboides",2,46.03
"200910101109-621","Rainwater Killifish","Lucania parva",1,0.31
"200910101215-402","Goldspotted Killifish","Floridichthys carpio",1,0.43
"200910101215-402","Mojarra Spp","Eucinostomus spp",105,175.65
"200910101215-402","Pinfish","Lagodon rhomboides",2,65.33
"200910101440-314","Mojarra Spp","Eucinostomus spp",9,44.1
"200910101440-314","Pinfish","Lagodon rhomboides",1,38.91
"200910110841-123","Mahogany Snapper","Lutjanus mahogoni",1,2.6
"200910110841-123","Mojarra Spp","Eucinostomus spp",55,40.26
"200910110841-123","Pinfish","Lagodon rhomboides",2,9.96
"200910110841-123","Planehead Filefish","Stephanolepis hispidus",5,25.82
"200910110841-123","Rainwater Killifish","Lucania parva",2,0.51
"200910110928-022","Banded Blenny","Paraclinus fasciatus",1,0.69
"200910110928-022","Gray Snapper","Lutjanus griseus",2,12.31
"200910110928-022","Gulf Pipefish","Syngnathus scovelli",1,1.26
"200910110928-022","Lane Snapper","Lutjanus synagris",5,52.37
"200910110928-022","Mojarra Spp","Eucinostomus spp",211,232.96
"200910110928-022","Pigfish","Orthopristis chrysoptera",2,23.76
"200910110928-022","Pinfish","Lagodon rhomboides",125,793.76
"200910110928-022","Planehead Filefish","Stephanolepis hispidus",26,105.77
"200910110928-022","Rainwater Killifish","Lucania parva",4,1.26
"200910110928-022","Redtail Parrotfish","Sparisoma chrysopterum",1,1.84
"200910110928-022","Sargassum Pipefish","Syngnathus pelagicus",4,5.91
"200910110928-022","Silver Perch","Bairdiella chrysoura",7,88.68
"200910110928-022","White Grunt","Haemulon plumierii",22,65.56
"200910111122-146","Mojarra Spp","Eucinostomus spp",11,9.99
"200910111122-146","Pinfish","Lagodon rhomboides",6,35.51
"200910111122-146","Rainwater Killifish","Lucania parva",92,16.06
"200910111325-068","Bay Anchovy","Anchoa mitchilli",2,0.25
"200910111325-068","Gray Snapper","Lutjanus griseus",1,4.5
"200910111325-068","Lane Snapper","Lutjanus synagris",2,14.28
"200910111325-068","Mojarra Spp","Eucinostomus spp",100,163.64
"200910111325-068","Pinfish","Lagodon rhomboides",110,1047.22
"200910111325-068","Planehead Filefish","Stephanolepis hispidus",2,3.86
"200910111325-068","Sargassum Pipefish","Syngnathus pelagicus",2,1.47
"200910111325-068","White Grunt","Haemulon plumierii",3,14.25
"200910111522-169","Goldspotted Killifish","Floridichthys carpio",2,1.12
"200910111522-169","Gulf Pipefish","Syngnathus scovelli",1,0.26
"200910111522-169","Mojarra Spp","Eucinostomus spp",7,3.37
"200910111522-169","Pinfish","Lagodon rhomboides",6,45.94
"200910111522-169","Rainwater Killifish","Lucania parva",99,13.25
"200910121001-301","Bay Anchovy","Anchoa mitchilli",12,2.51
"200910121001-301","Clown Goby","Microgobius gulosus",1,0.14
"200910121001-301","Dwarf Seahorse","Hippocampus zosterae",1,0.05
"200910121001-301","Gulf Pipefish","Syngnathus scovelli",2,0.34
"200910121001-301","Herring Spp","Clupeidae spp",1,0.1
"200910121001-301","Mojarra Spp","Eucinostomus spp",109,231.37
"200910121001-301","Pinfish","Lagodon rhomboides",29,495.69
"200910121018-312","Spotted Seatrout","Cynoscion nebulosus",1,0.33
"200910121604-284","Spotted Seatrout","Cynoscion nebulosus",1,0.58
"200910130835-257","Clown Goby","Microgobius gulosus",1,0.11
"200910130835-257","Goldspotted Killifish","Floridichthys carpio",1,0.68
"200910130835-257","Mojarra Spp","Eucinostomus spp",38,43.06
"200910130835-257","Pinfish","Lagodon rhomboides",38,441.26
"200910130835-257","Rainwater Killifish","Lucania parva",133,15.77
"200910131006-241","Goldspotted Killifish","Floridichthys carpio",6,2.52
"200910131006-241","Mojarra Spp","Eucinostomus spp",2,1.44
"200910131006-241","Pinfish","Lagodon rhomboides",2,23.88
"200910131006-241","Rainwater Killifish","Lucania parva",15,2.15
"200910131056-253","Goldspotted Killifish","Floridichthys carpio",2,1
"200910131056-253","Gulf Toadfish","Opsanus beta",3,33.53
"200910131056-253","Pinfish","Lagodon rhomboides",17,140.57
"200910131056-253","Rainwater Killifish","Lucania parva",49,8.98
"200911071050-301","Mojarra Spp","Eucinostomus spp",30,91.07
"200911071305-618","Goldspotted Killifish","Floridichthys carpio",5,2.01
"200911071305-618","Mojarra Spp","Eucinostomus spp",55,183.67
"200911071305-618","Pinfish","Lagodon rhomboides",6,146.71
"200911071424-402","Mojarra Spp","Eucinostomus spp",5,3.6
"200911080948-270","Gulf Pipefish","Syngnathus scovelli",1,0.17
"200911080948-270","Mojarra Spp","Eucinostomus spp",22,50.89
"200911080948-270","Pinfish","Lagodon rhomboides",25,437.33
"200911080948-270","Rainwater Killifish","Lucania parva",3,0.6
"200911141032-241","Gulf Pipefish","Syngnathus scovelli",1,0.99
"200911141032-241","Gulf Toadfish","Opsanus beta",1,7.04
"200911141032-241","Mojarra Spp","Eucinostomus spp",5,4.08
"200911141032-241","Pinfish","Lagodon rhomboides",14,146.65
"200911141032-241","Rainwater Killifish","Lucania parva",46,6.52
"200911141410-172","Gulf Pipefish","Syngnathus scovelli",1,0.29
"200911141410-172","Mojarra Spp","Eucinostomus spp",8,6.89
"200911141410-172","Pinfish","Lagodon rhomboides",3,39.43
"200911141410-172","Rainwater Killifish","Lucania parva",22,2.84
"200911141410-172","Sargassum Pipefish","Syngnathus pelagicus",1,0.15
"200911151032-112","Gulf Pipefish","Syngnathus scovelli",1,0.25
"200911151032-112","Mojarra Spp","Eucinostomus spp",41,17.23
"200911151032-112","Pinfish","Lagodon rhomboides",3,25.49
"200911151032-112","Planehead Filefish","Stephanolepis hispidus",2,5.07
"200911151032-112","Rainwater Killifish","Lucania parva",2,0.39
"200911151032-112","Sargassum Pipefish","Syngnathus pelagicus",2,0.67
"200911151128-023","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"200911151128-023","Fringed Pipefish","Anarchopterus criniger",1,0.15
"200911151128-023","Goldspotted Killifish","Floridichthys carpio",30,24.05
"200911151128-023","Gray Snapper","Lutjanus griseus",1,3.45
"200911151128-023","Gulf Pipefish","Syngnathus scovelli",3,0.95
"200911151128-023","Lane Snapper","Lutjanus synagris",9,6.26
"200911151128-023","Mojarra Spp","Eucinostomus spp",228,200.04
"200911151128-023","Pigfish","Orthopristis chrysoptera",1,17.98
"200911151128-023","Pinfish","Lagodon rhomboides",126,906.11
"200911151128-023","Planehead Filefish","Stephanolepis hispidus",2,2.83
"200911151128-023","Rainwater Killifish","Lucania parva",523,116.88
"200911151128-023","Sargassum Pipefish","Syngnathus pelagicus",1,0.68
"200911151128-023","Striped Blenny","Chasmodes bosquianus",3,7.08
"200911151128-023","White Grunt","Haemulon plumierii",1,2.14
"200911151441-068","Bay Anchovy","Anchoa mitchilli",4,0.95
"200911151441-068","Dwarf Seahorse","Hippocampus zosterae",1,0.03
"200911151441-068","Gray Snapper","Lutjanus griseus",1,4.97
"200911151441-068","Lane Snapper","Lutjanus synagris",3,8.47
"200911151441-068","Mahogany Snapper","Lutjanus mahogoni",1,0.22
"200911151441-068","Mojarra Spp","Eucinostomus spp",97,147.32
"200911151441-068","Pigfish","Orthopristis chrysoptera",2,15.62
"200911151441-068","Pinfish","Lagodon rhomboides",148,1339.44
"200911151441-068","Planehead Filefish","Stephanolepis hispidus",4,24.59
"200911151441-068","White Grunt","Haemulon plumierii",3,14.83
"200911151605-159","Mojarra Spp","Eucinostomus spp",3,1.01
"200911151605-159","Pinfish","Lagodon rhomboides",1,5.24
"200911151605-159","Rainwater Killifish","Lucania parva",2,0.37
