"keyfield","sport_num","stom_spec","standard","total","wt_wstom","wt_wostom","blk_wt","blk_vol","cat","cat_wt","cat_vol","food_id","food_ord","food_fam","food_count","food_wt","food_tl","food_sl","food_cl"
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Crustacean",0.091,0.07,"Caridean spp","Decapoda",NA,1,0.003,NA,NA,NA
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Crustacean",0.091,0.07,"Caridean spp","Decapoda",NA,1,0.005,NA,NA,NA
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Fish",0.103,0.05,"Mugilidae spp","Mugiliformes","Mugilidae",1,0.103,NA,NA,NA
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Crustacean",0.091,0.07,"Palaemon spp","Decapoda","Palaemonidae",1,0.004,NA,NA,NA
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Crustacean",0.091,0.07,"Palaemon spp","Decapoda","Palaemonidae",1,0.01,NA,NA,NA
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Crustacean",0.091,0.07,"Thor spp","Decapoda","Thoridae",1,0.001,NA,NA,NA
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Crustacean",0.091,0.07,"Thor spp","Decapoda","Thoridae",1,0.004,NA,NA,NA
"200909150920-302",35,"Cynoscion nebulosus",69.21,83.92,4.46,3.91,0.18,0.18,"Crustacean",0.091,0.07,"Thor spp","Decapoda","Thoridae",1,0.023,NA,NA,NA
"200910121018-312",22,"Cynoscion nebulosus",27.85,34.1,0.33,0.22,0.023,0.023,"Crustacean",0.023,0.055,"Hippolyte spp","Decapoda","Hippolytidae",1,0.01,NA,NA,NA
"200910121018-312",22,"Cynoscion nebulosus",27.85,34.1,0.33,0.22,0.023,0.023,"Crustacean",0.023,0.055,"Hippolyte zostericola","Decapoda","Hippolytidae",1,0.007,NA,NA,NA
"200910121604-284",63,"Cynoscion nebulosus",37.26,46.71,0.58,0.53,0.001,0.001,"Misc",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"200911160815-292",64,"Cynoscion nebulosus",35.47,42.37,0.5,0.43,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"200911160836-291",45,"Cynoscion nebulosus",67.01,82,4.23,4.06,0.052,0.052,"Crustacean",0.052,0.08,"Caridean spp","Decapoda",NA,1,0.003,NA,NA,NA
"200911160836-291",45,"Cynoscion nebulosus",67.01,82,4.23,4.06,0.052,0.052,"Crustacean",0.052,0.08,"Caridean spp","Decapoda",NA,1,0.002,NA,NA,NA
"200911160836-291",45,"Cynoscion nebulosus",67.01,82,4.23,4.06,0.052,0.052,"Crustacean",0.052,0.08,"Hippolyte zostericola","Decapoda","Hippolytidae",1,0.028,NA,NA,6.11
"200911160836-291",45,"Cynoscion nebulosus",67.01,82,4.23,4.06,0.052,0.052,"Crustacean",0.052,0.08,"Thor spp","Decapoda","Thoridae",1,0.013,NA,NA,NA
"201005291115-054",2,"Cynoscion nebulosus",34.08,41.4,NA,0.45,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201005291030-022",13,"Cynoscion nebulosus",31.49,38.93,NA,0.33,0.006,0.006,"Fish",0.006,0.02,"UNID",NA,NA,1,0.006,NA,NA,NA
"201005291030-022",14,"Cynoscion nebulosus",31.97,39.37,NA,0.37,0.004,0.004,"Fish",0.004,0.03,"UNID",NA,NA,1,0.004,NA,NA,NA
"201005291030-022",15,"Cynoscion nebulosus",26.8,33.98,NA,0.16,0.024,0.024,"Fish",0.024,0.06,"UNID",NA,NA,1,0.024,NA,NA,NA
"201005291005-024",8,"Cynoscion nebulosus",34.8,42.58,NA,0.55,0.045,0.045,"Crustacean",0.04,0.08,"Hippolyte spp","Decapoda","Hippolytidae",1,0.04,NA,NA,NA
"201005291005-024",8,"Cynoscion nebulosus",34.8,42.58,NA,0.55,0.045,0.045,"Crustacean",0.04,0.08,"Latreutes fucorum","Decapoda","Hippolytidae",1,0.001,NA,NA,NA
"201005291515-068",3,"Cynoscion nebulosus",35.7,43.41,NA,0.5,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201005291515-068",4,"Cynoscion nebulosus",39.85,49.32,NA,0.6,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201005291515-068",8,"Cynoscion nebulosus",33.85,41.47,NA,2.79,0.014,0.014,"Crustacean",0.004,0.01,"Tanaidacea spp","Tanaidacea",NA,1,0.004,NA,NA,NA
"201005291515-068",9,"Cynoscion nebulosus",33.85,41.47,NA,2.79,0.014,0.014,"Fish",0.014,0.06,"UNID",NA,NA,1,0.006,NA,NA,NA
"201005291515-068",9,"Cynoscion nebulosus",33.85,41.47,NA,2.79,0.014,0.014,"Fish",0.014,0.06,"UNID",NA,NA,1,0.008,NA,NA,NA
"201005290915-122",12,"Cynoscion nebulosus",18.48,22.42,NA,0.71,0.001,0.001,"Misc",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"201005291420-144",5,"Cynoscion nebulosus",19.86,23.23,NA,0.09,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201006011320-621",10,"Cynoscion nebulosus",48.91,60.18,NA,1.27,0.023,0.023,"Crustacean",0.015,0.06,"Caridean spp","Decapoda",NA,1,0.015,NA,NA,NA
"201006011320-621",10,"Cynoscion nebulosus",48.91,60.18,NA,1.27,0.023,0.023,"Crustacean",0.01,0.03,"UNID",NA,NA,1,0.01,NA,NA,NA
"201007031205-107",11,"Cynoscion nebulosus",42.31,51.98,1.16,0.69,0.021,0.021,"Crustacean",0.021,0.04,"Hippolyte zostericola","Decapoda","Hippolytidae",1,0.021,NA,NA,NA
"201007031542-168",7,"Cynoscion nebulosus",61.62,73.65,4.5,2.91,0.167,0.167,"Crustacean",0.131,0.18,"Caridean spp","Decapoda",NA,1,0.01,NA,NA,NA
"201007031542-168",7,"Cynoscion nebulosus",61.62,73.65,4.5,2.91,0.167,0.167,"Crustacean",0.131,0.18,"Caridean spp","Decapoda",NA,1,0.007,NA,NA,NA
"201007031542-168",7,"Cynoscion nebulosus",61.62,73.65,4.5,2.91,0.167,0.167,"Crustacean",0.131,0.18,"Caridean spp","Decapoda",NA,1,0.004,NA,NA,NA
"201007031542-168",7,"Cynoscion nebulosus",61.62,73.65,4.5,2.91,0.167,0.167,"Crustacean",0.131,0.18,"Caridean spp","Decapoda",NA,1,0.004,NA,NA,NA
"201007031542-168",7,"Cynoscion nebulosus",61.62,73.65,4.5,2.91,0.167,0.167,"Crustacean",0.131,0.18,"Caridean spp","Decapoda",NA,1,0.003,NA,NA,NA
"201007031542-168",7,"Cynoscion nebulosus",61.62,73.65,4.5,2.91,0.167,0.167,"Crustacean",0.131,0.18,"Hippolyte spp","Decapoda","Hippolytidae",1,0.04,12.2,NA,NA
"201007031542-168",7,"Cynoscion nebulosus",61.62,73.65,4.5,2.91,0.167,0.167,"Crustacean",0.131,0.18,"Penaeid spp","Decapoda","Penaeidae",1,0.09,20.45,NA,NA
"201007031542-168",7,"Cynoscion nebulosus",42.31,51.98,1.16,0.69,0.021,0.021,"Crustacean",0.013,0.2,"UNID",NA,NA,1,0.009,NA,NA,NA
"201007040925-144",6,"Cynoscion nebulosus",40.73,51.37,0.93,0.81,0.037,0.037,"Crustacean",0.026,0.01,"Caridean spp","Decapoda",NA,1,0.001,NA,NA,NA
"201007040925-144",6,"Cynoscion nebulosus",40.73,51.37,0.93,0.81,0.037,0.037,"Crustacean",0.026,0.01,"Hippolyte pleuracanthus","Decapoda","Hippolytidae",1,0.026,11.17,NA,3.21
"201007040925-144",6,"Cynoscion nebulosus",40.73,51.37,0.93,0.81,0.037,0.037,"Fish",0.007,0.03,"UNID",NA,NA,1,0.007,NA,NA,NA
"201007311534-071",16,"Cynoscion nebulosus",115.6,133.56,17.19,15.79,0.23,0.23,"Crustacean",0.23,0.35,"Penaeid spp","Decapoda","Penaeidae",1,0.23,NA,NA,NA
"201007311534-071",17,"Cynoscion nebulosus",73.66,85.2,5.49,4.65,0.23,0.23,"Misc",0.23,0.3,"UNID",NA,NA,1,0.23,NA,NA,NA
"201007311328-159",1,"Cynoscion nebulosus",33.16,41.36,0.46,0.39,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201009050920-023",48,"Cynoscion nebulosus",33.35,40.96,0.49,0.46,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201009050920-023",46,"Cynoscion nebulosus",40.94,52.96,1,0.92,0.006,0.006,"Crustacean",0.006,0.04,"Latreutes fucorum","Decapoda","Hippolytidae",1,0.006,NA,NA,NA
"201009050920-023",49,"Cynoscion nebulosus",27.49,35.65,0.32,0.29,0.003,0.003,"Fish",0.003,0.02,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.003,0.02,NA,NA
"201009050920-023",47,"Cynoscion nebulosus",34.32,43.55,0.56,0.55,0.002,0.002,"Crustacean",0.002,0.01,"UNID",NA,NA,1,0.002,NA,NA,NA
"201009050920-023",47,"Cynoscion nebulosus",34.32,43.55,0.56,0.55,0.002,0.002,"Misc",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"201009051010-021",51,"Cynoscion nebulosus",32.78,41.44,0.45,0.44,0.001,0.001,"Misc",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"201009051304-156",53,"Cynoscion nebulosus",49.81,61.53,1.63,1.45,0.042,0.042,"Crustacean",0.042,0.06,"Tozeuma carolinense","Decapoda","Hippolytidae",1,0.042,NA,NA,NA
"201009051245-157",52,"Cynoscion nebulosus",48.41,60.59,1.57,1.39,0.052,0.052,"Crustacean",0.019,0.02,"Caridean spp","Decapoda",NA,1,0.019,NA,NA,NA
"201009051245-157",52,"Cynoscion nebulosus",48.41,60.59,1.57,1.39,0.052,0.052,"Fish",0.037,0.005,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.023,NA,NA,NA
"201009051245-157",52,"Cynoscion nebulosus",48.41,60.59,1.57,1.39,0.052,0.052,"Fish",0.037,0.005,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.015,NA,NA,NA
"201009051530-176",50,"Cynoscion nebulosus",40.76,51.02,0.93,0.84,0.003,0.003,"Misc",0.003,0.035,"UNID",NA,NA,5,0.035,NA,NA,NA
"201010031113-130",54,"Cynoscion nebulosus",35.52,43.85,0.54,0.46,0.029,0.029,"Fish",0.029,0.07,"Holocentridae spp","Holocentriformes","Holocentridae",1,0.029,NA,NA,NA
"201010031113-130",55,"Cynoscion nebulosus",24.39,29.33,0.16,0.13,0.008,0.008,"Fish",0.005,0.02,"Sphyraenidae spp","Istiophoriformes","Sphyraenidae",1,0.005,NA,NA,NA
"201010031113-130",55,"Cynoscion nebulosus",24.39,29.33,0.16,0.13,0.008,0.008,"Crustacean",0.003,0.01,"UNID",NA,NA,1,0.003,NA,NA,NA
"201010031325-156",59,"Cynoscion nebulosus",33.94,42.2,0.48,0.45,0.003,0.003,"Misc",0.003,0.01,"UNID",NA,NA,1,0.003,NA,NA,NA
"201010031410-067",56,"Cynoscion nebulosus",53.86,67.51,2.12,1.9,0.051,0.051,"Crustacean",0.051,0.08,"Caridean spp","Decapoda",NA,5,0.051,NA,NA,NA
"201010031410-067",56,"Cynoscion nebulosus",53.86,67.51,2.12,1.9,0.051,0.051,"Crustacean",0.051,0.08,"Tanaidacea spp","Tanaidacea",NA,1,0.001,NA,NA,NA
"201010031410-067",57,"Cynoscion nebulosus",38.39,47.44,0.86,0.81,0.006,0.006,"Misc",0.006,0.02,"UNID",NA,NA,1,0.006,NA,NA,NA
"201010031005-022",58,"Cynoscion nebulosus",33.04,41.71,0.49,0.43,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201011100857-174",60,"Cynoscion nebulosus",73.88,90.2,5.34,4.87,0.153,0.153,"Crustacean",0.153,0.1,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.153,NA,NA,NA
"201011100935-167",61,"Cynoscion nebulosus",68.72,83.95,4.44,3.9,0.117,0.117,"Fish",0.117,0.12,"UNID",NA,NA,1,0.117,NA,NA,NA
"201011101050-135",62,"Cynoscion nebulosus",29.58,37.85,0.29,0.26,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201105140935-144",10,"Cynoscion nebulosus",50.43,62.82,1.54,1.44,0.011,0.011,"Crustacean",0.011,0.028,"Hippolyte pleuracanthus","Decapoda","Hippolytidae",1,0.011,NA,NA,NA
"201105141050-118",9,"Cynoscion nebulosus",41.97,52.26,0.82,0.73,0.023,0.023,"Fish",NA,NA,"UNID",NA,NA,1,NA,NA,NA,NA
"201105141050-118",9,"Cynoscion nebulosus",41.97,52.26,0.82,0.73,0.023,0.023,"Crustacean",NA,NA,"UNID",NA,NA,1,NA,NA,NA,NA
"201105141222-106",8,"Cynoscion nebulosus",37.18,45.78,0.67,0.58,0.032,0.032,"Crustacean",0.032,0.084,"UNID",NA,NA,1,0.032,NA,NA,NA
"201105141410-070",4,"Cynoscion nebulosus",26.75,33.75,0.22,0.17,0,0,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201105141410-070",34,"Cynoscion nebulosus",16.24,19.17,0.06,NA,NA,NA,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201105141410-070",3,"Cynoscion nebulosus",29.14,35.2,0.32,0.17,0.027,0.027,"Fish",0.027,0.084,"Gerreidae spp","Perciformes","Gerreidae",1,0.023,NA,NA,NA
"201105141410-070",3,"Cynoscion nebulosus",29.14,35.2,0.32,0.17,0.027,0.027,"Fish",0.027,0.084,"Gerreidae spp","Perciformes","Gerreidae",1,0.011,NA,NA,NA
"201105141410-070",3,"Cynoscion nebulosus",29.14,35.2,0.32,0.17,0.027,0.027,"Fish",0.027,0.084,"Gerreidae spp","Perciformes","Gerreidae",1,0.002,NA,NA,NA
"201105141410-070",2,"Cynoscion nebulosus",47.25,58.21,1.22,1.08,0.031,0.031,"Fish",0.01,0.014,"UNID",NA,NA,1,0.01,NA,NA,NA
"201105141410-070",2,"Cynoscion nebulosus",47.25,58.21,1.22,1.08,0.031,0.031,"Misc",0.004,NA,"UNID",NA,NA,1,0.004,NA,NA,NA
"201105141345-130",1,"Cynoscion nebulosus",70.76,86.13,4.54,3.97,0.131,0.131,"Crustacean",0.131,0.18,"Penaeid spp","Decapoda","Penaeidae",1,0.113,NA,NA,NA
"201105141345-130",1,"Cynoscion nebulosus",70.76,86.13,4.54,3.97,0.131,0.131,"Crustacean",0.131,0.18,"Penaeid spp","Decapoda","Penaeidae",1,0.015,NA,NA,NA
"201105151422-073",6,"Cynoscion nebulosus",37.34,45.25,0.73,0.59,0.077,0.077,"Fish",0.077,0.13,"Gerreidae spp","Perciformes","Gerreidae",1,0.037,NA,NA,NA
"201105151422-073",5,"Cynoscion nebulosus",40.5,49.94,0.85,0.75,0.001,0.001,"Fish",0.001,0.001,"UNID",NA,NA,1,0.001,NA,NA,NA
"201105151422-073",6,"Cynoscion nebulosus",37.34,45.25,0.73,0.59,0.077,0.077,"Fish",0.077,0.13,"UNID",NA,NA,1,0.032,NA,NA,NA
"201105151422-073",6,"Cynoscion nebulosus",37.34,45.25,0.73,0.59,0.077,0.077,"Fish",0.077,0.13,"UNID",NA,NA,1,0.007,NA,NA,NA
"201105151422-073",6,"Cynoscion nebulosus",37.34,45.25,0.73,0.59,0.077,0.077,"Fish",0.077,0.13,"UNID",NA,NA,1,0.005,NA,NA,NA
"201105151422-073",7,"Cynoscion nebulosus",32.64,40.69,0.46,0.41,0.022,0.022,"Fish",0.022,0.044,"UNID",NA,NA,1,0.022,NA,NA,NA
"201105151012-171",11,"Cynoscion nebulosus",50.34,61.41,1.73,1.43,0.257,0.257,"Fish",0.138,0.14,"Engraulidae spp","Clupeiformes","Engraulidae",1,0.045,NA,NA,NA
"201105151012-171",11,"Cynoscion nebulosus",50.34,61.41,1.73,1.43,0.257,0.257,"Crustacean",0.109,0.17,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.067,NA,NA,NA
"201105151012-171",11,"Cynoscion nebulosus",50.34,61.41,1.73,1.43,0.257,0.257,"Crustacean",0.109,0.17,"Penaeid spp","Decapoda","Penaeidae",1,0.042,NA,NA,NA
"201105151012-171",11,"Cynoscion nebulosus",50.34,61.41,1.73,1.43,0.257,0.257,"Fish",0.138,0.14,"UNID",NA,NA,1,0.021,NA,NA,NA
"201105151012-171",11,"Cynoscion nebulosus",50.34,61.41,1.73,1.43,0.257,0.257,"Fish",0.138,0.14,"UNID",NA,NA,1,0.075,NA,NA,NA
"201106121050-020",21,"Cynoscion nebulosus",43.33,55.45,0.92,0.82,0,0,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201106121028-101",13,"Cynoscion nebulosus",57.8,72.57,2.57,2.12,0.189,0.189,"Crustacean",0.142,0.12,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.1,NA,NA,NA
"201106121028-101",13,"Cynoscion nebulosus",57.8,72.57,2.57,2.12,0.189,0.189,"Fish",0.042,0.046,"Gerreidae spp","Perciformes","Gerreidae",1,0.042,NA,NA,NA
"201106121028-101",13,"Cynoscion nebulosus",57.8,72.57,2.57,2.12,0.189,0.189,"Crustacean",0.142,0.12,"Penaeid spp","Decapoda","Penaeidae",1,0.003,NA,NA,NA
"201106121028-101",13,"Cynoscion nebulosus",57.8,72.57,2.57,2.12,0.189,0.189,"Crustacean",0.142,0.12,"Penaeid spp","Decapoda","Penaeidae",1,0.023,NA,NA,NA
"201106121155-065",12,"Cynoscion nebulosus",28.48,34.96,0.3,0.24,0,0,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201106121220-068",18,"Cynoscion nebulosus",51.89,65.59,1.51,1.32,0.003,0.003,"Crustacean",0.003,0.002,"UNID",NA,NA,1,0.003,NA,NA,NA
"201106121220-068",19,"Cynoscion nebulosus",36.23,45.3,0.55,0.5,0.001,0.001,"Crustacean",0.001,0.001,"UNID",NA,NA,1,0.001,NA,NA,NA
"201106121220-068",20,"Cynoscion nebulosus",29.59,37.47,0.32,0.25,0.032,0.032,"Fish",0.019,0.049,"UNID",NA,NA,1,0.019,NA,NA,NA
"201106121220-068",20,"Cynoscion nebulosus",29.59,37.47,0.32,0.25,0.032,0.032,"Crustacean",0.018,0.024,"UNID",NA,NA,1,0.018,NA,NA,NA
"201106121348-071",17,"Cynoscion nebulosus",28.22,33.59,0.29,0.23,0,0,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201106121348-071",16,"Cynoscion nebulosus",44.34,55.72,1.11,0.95,0.005,0.005,"Fish",0.005,0.002,"UNID",NA,NA,1,0.005,NA,NA,NA
"201106121315-070",15,"Cynoscion nebulosus",29.3,35.89,0.27,0.24,0,0,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201106121315-070",14,"Cynoscion nebulosus",31.26,38.85,0.33,0.28,0.001,0.001,"Crustacean",0.001,0.001,"UNID",NA,NA,1,0.001,NA,NA,NA
"201108141452-068",23,"Cynoscion nebulosus",38.74,46.54,0.6,0.5,0,0,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201108141452-068",22,"Cynoscion nebulosus",100.39,120.74,11.82,11.15,0.1,0.1,"Crustacean",0.1,0.18,"Farfantepenaeus duorarum","Decapoda","Penaeidae",1,0.1,NA,NA,NA
"201109041119-067",33,"Cynoscion nebulosus",14.54,17.12,0.037,0.024,0,0,NA,NA,NA,"Empty",NA,NA,0,NA,NA,NA,NA
"201109041119-067",31,"Cynoscion nebulosus",20.31,24.27,0.13,0.1,0.014,0.014,"Crustacean",0.014,0.05,"Penaeid spp","Decapoda","Penaeidae",1,0.014,NA,NA,NA
