"keyfield","year","month","day","time","station","quadrant","lat","long","date","zone","waypoint_start","waypoint_end","tow_time","tow_area","tow_dist_rec","tow_dist_calc","sea_state","atmo","secchi","crew","depth_ft","depth_in","depth_cm","sal","temp","do_sat","do_mgl","chla","cass_spp","cteno_spp","notes"
"200410191300-022",2004,10,19,"13:00",22,"N",25.056,-81.039,"10/19/2004","West",NA,NA,NA,480.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,27.5,NA,NA,NA,NA,NA,NA
"200410191445-024",2004,10,19,"14:45",24,"W",25.031,-81.015,"10/19/2004","West",NA,NA,NA,449.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,28.5,NA,NA,NA,NA,NA,NA
"200410191401-023",2004,10,19,"14:01",23,"N",25.044,-81.027,"10/19/2004","West",NA,NA,NA,359.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,29,NA,NA,NA,NA,NA,NA
"200410200933-105",2004,10,20,"9:33",105,"W",25.029,-80.989,"10/20/2004","West",NA,NA,NA,350.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,27.5,NA,NA,NA,NA,NA,NA
"200410201048-040",2004,10,20,"10:48",40,"W",25.016,-80.978,"10/20/2004","West",NA,NA,NA,384.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,28,NA,NA,NA,NA,NA,NA
"200410201253-123",2004,10,20,"12:53",123,"S",25.012,-80.926,"10/20/2004","West",NA,NA,NA,449.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,28.5,NA,NA,NA,NA,NA,NA
"200410201445-124",2004,10,20,"14:45",124,"W",24.999,-80.914,"10/20/2004","West",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,29.5,NA,NA,NA,NA,NA,NA
"200410201340-136",2004,10,20,"13:40",136,"W",25.023,-80.912,"10/20/2004","West",NA,NA,NA,405.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,29.5,NA,NA,NA,NA,NA,NA
"200410210934-144",2004,10,21,"9:34",144,"S",25.085,-80.945,"10/21/2004","West",NA,NA,NA,365.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,28,NA,NA,NA,NA,NA,NA
"200410211203-133",2004,10,21,"12:03",133,"E",25.061,-80.947,"10/21/2004","West",NA,NA,NA,367.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,28.5,NA,NA,NA,NA,NA,NA
"200410211546-135",2004,10,21,"15:46",135,"N",25.036,-80.924,"10/21/2004","West",NA,NA,NA,413.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,28.5,NA,NA,NA,NA,NA,NA
"200410211053-145",2004,10,21,"10:53",145,"E",25.072,-80.933,"10/21/2004","West",NA,NA,NA,354.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,28.5,NA,NA,NA,NA,NA,NA
"200410211257-134",2004,10,21,"12:57",134,"N",25.048,-80.935,"10/21/2004","West",NA,NA,NA,354.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,29,NA,NA,NA,NA,NA,NA
"200410211404-146",2004,10,21,"14:04",146,"E",25.059,-80.921,"10/21/2004","West",NA,NA,NA,413.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,29,NA,NA,NA,NA,NA,NA
"200410211456-147",2004,10,21,"14:56",147,"N",25.046,-80.91,"10/21/2004","West",NA,NA,NA,367.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,29,NA,NA,NA,NA,NA,NA
"200410230930-130",2004,10,23,"9:30",130,"S",25.1,-80.983,"10/23/2004","West",NA,NA,NA,165.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,25.5,NA,NA,NA,NA,NA,NA
"200410231140-157",2004,10,23,"11:40",157,"S",25.096,-80.931,"10/23/2004","West",NA,NA,NA,371.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,26,NA,NA,NA,NA,NA,NA
"200410231303-168",2004,10,23,"13:03",168,"W",25.094,-80.905,"10/23/2004","West",NA,NA,NA,443.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,26,NA,NA,NA,NA,NA,NA
"200410231355-169",2004,10,23,"13:55",169,"N",25.081,-80.893,"10/23/2004","West",NA,NA,NA,388.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,26.5,NA,NA,NA,NA,NA,NA
"200410231038-143",2004,10,23,"10:38",143,"W",25.099,-80.958,"10/23/2004","West",NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,27,NA,NA,NA,NA,NA,NA
"200410231621-254",2004,10,23,"16:21",254,"W",25.098,-80.814,"10/23/2004","Rankin",NA,NA,NA,184.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,27.5,NA,NA,NA,NA,NA,NA
"200410231536-240",2004,10,23,"15:36",240,"E",25.088,-80.828,"10/23/2004","Rankin",NA,NA,NA,264.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,28,NA,NA,NA,NA,NA,NA
"200410240940-266",2004,10,24,"9:40",266,"W",25.122,-80.811,"10/24/2004","Rankin",NA,NA,NA,218.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,26,NA,NA,NA,NA,NA,NA
"200410240850-281",2004,10,24,"8:50",281,"S",25.107,-80.774,"10/24/2004","Whipray",NA,NA,NA,323.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26,NA,NA,NA,NA,NA,NA
"200410241200-068",2004,10,24,"12:00",68,"N",25.121,-80.955,"10/24/2004","West",NA,NA,NA,317.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,26.5,NA,NA,NA,NA,NA,NA
"200410241340-070",2004,10,24,"13:40",70,"E",25.132,-80.941,"10/24/2004","West",NA,NA,NA,243.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,27,NA,NA,NA,NA,NA,NA
"200410241555-174",2004,10,24,"15:55",174,"W",25.128,-80.889,"10/24/2004","West",NA,NA,NA,445.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,27,NA,NA,NA,NA,NA,NA
"200410241432-071",2004,10,24,"14:32",71,"S",25.119,-80.929,"10/24/2004","West",NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,27.5,NA,NA,NA,NA,NA,NA
"200410250851-304",2004,10,25,"8:51",304,"N",25.088,-80.713,"10/25/2004","Crocodile",NA,NA,NA,352.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,25,NA,NA,NA,NA,NA,NA
"200410251025-292",2004,10,25,"10:25",292,"N",25.105,-80.748,"10/25/2004","Whipray",NA,NA,NA,384.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,25.5,NA,NA,NA,NA,NA,NA
"200410250934-226",2004,10,25,"9:34",226,"E",25.064,-80.83,"10/25/2004","Rankin",NA,NA,NA,254.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,26,NA,NA,NA,NA,NA,NA
"200410251239-301",2004,10,25,"12:39",301,"W",25.129,-80.745,"10/25/2004","Whipray",NA,NA,NA,176.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,26,NA,NA,NA,NA,NA,NA
"200410251100-313",2004,10,25,"11:00",313,"S",25.126,-80.72,"10/25/2004","Crocodile",NA,NA,NA,344.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,26,NA,NA,NA,NA,NA,NA
"200410251600-271",2004,10,25,"16:00",271,"W",25.058,-80.752,"10/25/2004","Whipray",NA,NA,NA,179.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,27,NA,NA,NA,NA,NA,NA
"200410251502-294",2004,10,25,"15:02",294,"W",25.078,-80.728,"10/25/2004","Whipray",NA,NA,NA,371.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,27,NA,NA,NA,NA,NA,NA
"200410250927-303",2004,10,25,"9:27",303,"E",25.103,-80.722,"10/25/2004","Crocodile",NA,NA,NA,394.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,27,NA,NA,NA,NA,NA,NA
"200410251322-609",2004,10,25,"13:22",609,"E",25.141,-80.757,"10/25/2004","Whipray",NA,NA,NA,325.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,27,NA,NA,NA,NA,NA,NA
"200410260900-227",2004,10,26,"9:00",227,"E",25.051,-80.818,"10/26/2004","Rankin",NA,NA,NA,174.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,26,NA,NA,NA,NA,NA,NA
"200410261020-255",2004,10,26,"10:20",255,"S",25.085,-80.802,"10/26/2004","Rankin",NA,NA,NA,344.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26,NA,NA,NA,NA,NA,NA
"200410261054-225",2004,10,26,"10:54",225,"W",25.077,-80.842,"10/26/2004","Rankin",NA,NA,NA,140.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,26.5,NA,NA,NA,NA,NA,NA
"200410261215-241",2004,10,26,"12:15",241,"N",25.075,-80.816,"10/26/2004","Rankin",NA,NA,NA,266.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,26.5,NA,NA,NA,NA,NA,NA
"200410261315-242",2004,10,26,"13:15",242,"E",25.062,-80.804,"10/26/2004","Rankin",NA,NA,NA,254.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,27,NA,NA,NA,NA,NA,NA
"200410261357-243",2004,10,26,"13:57",243,"N",25.049,-80.792,"10/26/2004","Rankin",NA,NA,NA,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,27,NA,NA,NA,NA,NA,NA
"200410261454-267",2004,10,26,"14:54",267,"E",25.109,-80.799,"10/26/2004","Rankin",NA,NA,NA,375.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,27,NA,NA,NA,NA,NA,NA
"200410261530-279",2004,10,26,"15:30",279,"S",25.133,-80.797,"10/26/2004","Rankin",NA,NA,NA,340.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,27.5,NA,NA,NA,NA,NA,NA
"200411110855-130",2004,11,11,"8:55",130,"W",25.1,-80.983,"11/11/2004","West",NA,NA,NA,474.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,22,NA,NA,NA,NA,NA,NA
"200411110930-054",2004,11,11,"9:30",54,"S",25.091,-81.023,"11/11/2004","West",NA,NA,NA,396.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,22.5,NA,NA,NA,NA,NA,NA
"200411111019-106",2004,11,11,"10:19",106,"S",25.078,-81.011,"11/11/2004","West",NA,NA,NA,344.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,22.5,NA,NA,NA,NA,NA,NA
"200411111130-107",2004,11,11,"11:30",107,"E",25.065,-80.999,"11/11/2004","West",NA,NA,NA,198.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,23,NA,NA,NA,NA,NA,NA
"200411111218-118",2004,11,11,"12:18",118,"S",25.076,-80.985,"11/11/2004","West",NA,NA,NA,208.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,23.4,NA,NA,NA,NA,NA,NA
"200411111330-119",2004,11,11,"13:30",119,"W",25.063,-80.973,"11/11/2004","West",NA,NA,NA,188.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,24,NA,NA,NA,NA,NA,NA
"200411111442-143",2004,11,11,"14:42",143,"E",25.099,-80.958,"11/11/2004","West",NA,NA,NA,182.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,24.5,NA,NA,NA,NA,NA,NA
"200411111553-175",2004,11,11,"15:53",175,"S",25.115,-80.877,"11/11/2004","West",NA,NA,NA,264.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,24.5,NA,NA,NA,NA,NA,NA
"200411120826-020",2004,11,12,"8:26",20,"W",25.082,-81.063,"11/12/2004","West",NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,23,NA,NA,NA,NA,NA,NA
"200411120905-021",2004,11,12,"9:05",21,"S",25.069,-81.051,"11/12/2004","West",NA,NA,NA,390.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,23.5,NA,NA,NA,NA,NA,NA
"200411120942-024",2004,11,12,"9:42",24,"W",25.031,-81.015,"11/12/2004","West",NA,NA,NA,413.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,23.5,NA,NA,NA,NA,NA,NA
"200411121103-071",2004,11,12,"11:03",71,"W",25.119,-80.929,"11/12/2004","West",NA,NA,NA,375.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,23.5,NA,NA,NA,NA,NA,NA
"200411121141-073",2004,11,12,"11:41",73,"S",25.13,-80.915,"11/12/2004","West",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,23.5,NA,NA,NA,NA,NA,NA
"200411121557-158",2004,11,12,"15:57",158,"N",25.083,-80.919,"11/12/2004","West",NA,NA,NA,287.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2,24,NA,NA,NA,NA,NA,NA
"200411121403-168",2004,11,12,"14:03",168,"S",25.094,-80.905,"11/12/2004","West",NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,25,NA,NA,NA,NA,NA,NA
"200411121510-169",2004,11,12,"15:10",169,"N",25.081,-80.893,"11/12/2004","West",NA,NA,NA,285.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,25,NA,NA,NA,NA,NA,NA
"200411121301-172",2004,11,12,"13:01",172,"E",25.104,-80.891,"11/12/2004","West",NA,NA,NA,283.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,25.5,NA,NA,NA,NA,NA,NA
"200411130948-134",2004,11,13,"9:48",134,"E",25.048,-80.935,"11/13/2004","West",NA,NA,NA,333.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,24,NA,NA,NA,NA,NA,NA
"200411130828-159",2004,11,13,"8:28",159,"W",25.07,-80.907,"11/13/2004","West",NA,NA,NA,367.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,24,NA,NA,NA,NA,NA,NA
"200411131314-123",2004,11,13,"13:14",123,"S",25.012,-80.926,"11/13/2004","West",NA,NA,NA,369.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,24.5,NA,NA,NA,NA,NA,NA
"200411131050-137",2004,11,13,"10:50",137,"W",25.01,-80.9,"11/13/2004","West",NA,NA,NA,403.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,24.5,NA,NA,NA,NA,NA,NA
"200411131615-068",2004,11,13,"16:15",68,"N",25.121,-80.955,"11/13/2004","West",NA,NA,NA,354.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,25,NA,NA,NA,NA,NA,NA
"200411131400-122",2004,11,13,"14:00",122,"S",25.025,-80.938,"11/13/2004","West",NA,NA,NA,382.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,25,NA,NA,NA,NA,NA,NA
"200411131149-124",2004,11,13,"11:49",124,"N",24.999,-80.914,"11/13/2004","West",NA,NA,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,25,NA,NA,NA,NA,NA,NA
"200411131451-136",2004,11,13,"14:51",136,"W",25.023,-80.912,"11/13/2004","West",NA,NA,NA,487.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,25,NA,NA,NA,NA,NA,NA
"200411141038-265",2004,11,14,"10:38",265,"E",25.135,-80.823,"11/14/2004","Rankin",NA,NA,NA,354.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,24.5,NA,NA,NA,NA,NA,NA
"20041114NA-278",2004,11,14,NA,278,"E",25.145,-80.809,"11/14/2004","Rankin",NA,NA,NA,342.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,24.5,NA,NA,NA,NA,NA,NA
"200411141121-279",2004,11,14,"11:21",279,"W",25.133,-80.797,"11/14/2004","Rankin",NA,NA,NA,365.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,24.5,NA,NA,NA,NA,NA,NA
"200411141326-266",2004,11,14,"13:26",266,"W",25.122,-80.811,"11/14/2004","Rankin",NA,NA,NA,396.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,25.5,NA,NA,NA,NA,NA,NA
"200411141228-280",2004,11,14,"12:28",280,"E",25.12,-80.785,"11/14/2004","Rankin",NA,NA,NA,325.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,25.5,NA,NA,NA,NA,NA,NA
"200411160940-621",2004,11,16,"9:40",621,"S",25.167,-80.664,"11/16/2004","Crocodile",NA,NA,NA,409.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,21.5,NA,NA,NA,NA,NA,NA
"200411161115-402",2004,11,16,"11:15",402,"E",25.122,-80.668,"11/16/2004","Crocodile",NA,NA,NA,392.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,22,NA,NA,NA,NA,NA,NA
"200411161153-407",2004,11,16,"11:53",407,"S",25.133,-80.654,"11/16/2004","Crocodile",NA,NA,NA,424.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,22,NA,NA,NA,NA,NA,NA
"200411161038-618",2004,11,16,"10:38",618,"W",25.159,-80.677,"11/16/2004","Crocodile",NA,NA,NA,430.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,22,NA,NA,NA,NA,NA,NA
"200411161301-403",2004,11,16,"13:01",403,"N",25.11,-80.656,"11/16/2004","Crocodile",NA,NA,NA,386.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,22.5,NA,NA,NA,NA,NA,NA
"200411161339-404",2004,11,16,"13:39",404,"W",25.099,-80.642,"11/16/2004","Crocodile",NA,NA,NA,367.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,22.5,NA,NA,NA,NA,NA,NA
"200411170924-251",2004,11,17,"9:24",251,"S",25.13252,-80.85127,"11/17/2004","Rankin",NA,NA,NA,202.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,20.5,NA,NA,NA,NA,NA,NA
